Job Title,Company,Location,Salary Estimate,Job Description,Job Age,Country,Hourly,Glassdoor_Estimate,Employer_Provided,currency,min_salary,max_salary,avg_salary,Skills,Calculus,Distributed control systems,Database development,Business processes,Wireframing,Google Suite,ERP systems,Data modelling,Design patterns,Change management,E-commerce,Clinical laboratory experience,Tooling,Customer service,DB2,Internet of things,System design,Systems engineering,Jira,Operations research,RBAC,Salesforce Marketing Cloud,Data analysis skills,Microsoft Office,Software architecture,Financial analysis,Taxonomy,SAS,Microbiology,Agile,QlikView,Predictive analytics,IIS,Authentication,Yardi,AI,Spanish,Organizational skills,Data warehouse,Conflict management,Microservices,Project coordination,Performance tuning,Computer operation,Business intelligence,Statistics,Marketing mix modeling,Machine learning,iOS,Proposal writing,GitHub,Distributed systems,Research,SolidWorks,WAN,Scientific research,TensorFlow,HP ALM,SAP,Experimental design,Fanuc,Crystal Reports,CI/CD,Schematics,Data management,R,Apache Hive,Product development,SVN,Natural language processing,Configuration management,Database management,Mechanical engineering,Solution architecture,Windows,Image processing,Databases,SOX,XML,Adobe Photoshop,Controlling experience,Computer literacy,Operations management,FEA,Management,TypeScript,D3.js,Electrical engineering,5G,VoIP,.NET,Salesforce,Test automation,Cucumber (software testing tool),Vendor management,Communication skills,SAP SuccessFactors,Data mining,Release management,English,SharePoint,Time management,Relationship management,Continuous improvement,Moving,Business requirements,Django,Logistics,A/B testing,Program management,Forecasting,Tableau,MATLAB,Hadoop,Market analysis,Kanban,Microsoft Word,AWS,Computer vision,Computer science,JSON,Biostatistics,Process improvement,SDKs,Microsoft Windows Server,System administration,Regression analysis,Data structures,DevOps,Financial modeling,French,ServiceNow,Computer networking,Visual Studio,Administrative experience,Azure,Optics,PaaS,Web analytics,Pivot tables,Unreal Engine,TCP,SDLC,Go,Military,EDI,Unity,Ansible,SASS,Accounting software,Public speaking,Deep learning,Quality assurance,Root cause analysis,Docker,Filing,Test management tools,Writing skills,FedRAMP,Warehouse management system,SQL,Test-driven development,Russian,Help desk,Waterfall,Talent acquisition,HIPAA,Performance management,Clinical development,Quality control,Analysis skills,Program design,Deployment,Front-end development,Ontology,MongoDB,Project management software,Financial services,Revenue cycle management,CAD,Recruiting,Systems design,Web development,Alteryx,Visual Basic,Content development,Customer retention,CSS,Contract management,Application development,Maths,Public health,Cassandra,Confluence,IT service management,Presentation skills,Investment,Microsoft PowerPoint,Marketing,Business analysis,User acceptance testing,REST,Microsoft Access,MRP,Microsoft Excel,NoSQL,Data visualization,Research & development,SAFe,Cloud infrastructure,PostgreSQL,Barista experience,Node.js,Organisational skills,React,Internet of Things,Accounts payable,Mentoring,Cloud development,Scalability,Debugging,Cloud computing,Microsoft Powerpoint,Revit,FPGA,Microsoft Outlook,Redshift,Swift,Leadership,System architecture,Interviewing,Requirements analysis,Power BI,Cost management,Figma,Bootstrap,Bilingual,Project management,UI,Quantitative analysis,GAMP,Big data,Computer skills,NetSuite,Relational databases,JavaScript,Kubernetes,Market research,Git,Sensors,Statistical software,Signal processing,Virtualization,Data modeling,Statistical analysis,Pro/ENGINEER,TestNG,Pricing,Software deployment,Hospitality,Banking,Clinical research,Web accessibility,Linux,Google Analytics,Robotics,Enterprise software,Scala,Software development,Data collection,Epic,Oracle,Java,Qualitative research,Risk management,DoD experience,Load balancing,Fraud prevention and detection,FISMA,Social listening,Graph databases,Google Cloud Platform,Medical imaging,SaaS,Information security,Construction,Data centre experience,Knowledge management,Laboratory information management systems,Product demos,Software testing,Supply chain,AutoCAD,Semantic Web,S3,OOP,IT,Organization design,Japanese,.NET Core,Math,SSRS,Geometry,Team management,Wealth management,Operating systems,T-SQL,APIs,Mandarin,Financial planning,SSO,Python,SCCM,Embedded software,Data visualisation,Mobile applications,Analytics,New Relic,Trello,Biotechnology,Software troubleshooting,Fiddler,C++,C,Usability,Microsoft SQL Server,Managed care,Metadata,Data entry,Data analytics,Salt,CRM software,Multilingual,Selenium,Disaster recovery,Terrafrom,Elasticsearch,Telecommunication,Rust (programming language),Incident management,C#,Project leadership,Sales,Terraform,Requirements gathering,Spark,Algorithm design,Data science,Quality inspection,Scripting
Data Scientist,WINTrio,Remote,,"Takes research methodology and translates the methodology into programming procedures to examine differences, trends, and findings to be applied to special cost…&hellip;
      
        Skills: Statistics, SAS, R, Process improvement, SQL",30d+,USA,0,0,0,Unknown,,,," Statistics, SAS, R, Process improvement, SQL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Language Data Scientist, Alexa AI",Amazon,"Seattle, WA",$136K - $184K ,"3+ years of machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance experience.&hellip;
      
        Skills: Statistics, MATLAB, SAS, Qualitative research, R",18d,USA,0,0,1,$,136.0,184.0,160.0," Statistics, MATLAB, SAS, Qualitative research, R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Scientist, WWPS ProServe Data and Machine Learning",Amazon Web Services,"Jessup, MD",$136K - $184K ,"Working closely with stakeholders, you'll assess current data infrastructure, develop proof-of-concepts, and propose effective strategies for implementing AI…&hellip;
      
        Skills: CI/CD, MATLAB, SAS, Software deployment, R",30d+,USA,0,0,1,$,136.0,184.0,160.0," CI/CD, MATLAB, SAS, Software deployment, R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Scientist I, SHAKE",Amazon,"Seattle, WA",$108K - $160K ,"You will work on our Science team and partner closely with applied scientists, data engineers as well as product managers, UX designers, and business partners…&hellip;
      
        Skills: Statistics, MATLAB, Data mining, Business intelligence, SAS",27d,USA,0,0,1,$,108.0,160.0,134.0," Statistics, MATLAB, Data mining, Business intelligence, SAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist,State Farm,"Bloomington, IL",$107K - $142K ,"Completed master’s or other advanced degree in an analytical field such as statistics, mathematics, economics, data science, quantitative marketing, operations…&hellip;
      
        Skills: SAS, Computer vision, R, AWS, Team management",18d,USA,0,0,1,$,107.0,142.0,124.5," SAS, Computer vision, R, AWS, Team management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Deloitte,"Arlington, VA",$101K - $143K ,"Design, wireframe, and develop dashboards and data visualizations that clearly communicate insights to non-technical audiences.&hellip;
      
        Skills: Statistics, Tableau, Databases, Wireframing, Predictive analytics",12d,USA,0,1,0,$,101.0,143.0,122.0," Statistics, Tableau, Databases, Wireframing, Predictive analytics",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI and Machine Learning,Tata Consultancy Services,"Westfield, NJ",$100K - $150K ,"Mentoring and technical leadership capabilities.  Experience with Agentic AI architectures and end to end AI solution design.&hellip;
      
        Skills: Azure, Deep learning, Mentoring, Natural language processing, Scalability",3d,USA,0,0,1,$,100.0,150.0,125.0," Azure, Deep learning, Mentoring, Natural language processing, Scalability",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Engineer,Tata Consultancy Services,"Durham, NC",$90K - $110K ,"Experience with prompt engineering and few-shot learning techniques. Ability to optimize models for performance, scalability, and low-latency inference.&hellip;
      
        Skills: TensorFlow, Natural language processing, Scalability, Data science, AI",5d,USA,0,0,1,$,90.0,110.0,100.0," TensorFlow, Natural language processing, Scalability, Data science, AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Data Scientist,Tata Consultancy Services,"San Antonio, TX",$100K - $140K ,"Data Visualization and Reporting: Using tools (e.g., Tableau, Power BI) to create reports and charts that communicate technical findings to non-technical…&hellip;
      
        Skills: TensorFlow, Statistics, Power BI, R, Data analysis skills",30d+,USA,0,0,1,$,100.0,140.0,120.0," TensorFlow, Statistics, Power BI, R, Data analysis skills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Tata Consultancy Services,"Louisville, KY",$110K - $140K ,"3+ years in decision analytics, data science, or quantitative analysis. Decision quality analysis, fairness/bias/equity monitoring, experiment measurement,…&hellip;
      
        Skills: Statistics, SQL, Statistical analysis, Analysis skills, Data science",27d,USA,0,0,1,$,110.0,140.0,125.0," Statistics, SQL, Statistical analysis, Analysis skills, Data science",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
