Job Title,Company,Location,Salary Estimate,Job Description,Job Age
AI Engineer,eImagine Technology Group,"Indianapolis, IN",$70K - $113K (Glassdoor est.),"Experiment with new AI tools, frameworks, and technologies to solve client problems more effectively. Contribute to reusable code, tools, and best practices…&hellip;
      
        Skills: TensorFlow, Computer science, Azure, Git, Google Cloud Platform",18d
AI Engineer (in person),Gobierno de México,"Westfield, IN",$75K - $115K (Glassdoor est.),"Can effectively communicate technical ideas to individuals with widely varying technical backgrounds. Mentor your SEP teammates on applying AI to engineering…&hellip;
      
        Skills: Computer vision, Mentoring, Natural language processing, Software development, AI",30d+
Director of Engineering Operations,CCI Systems,"Carmel, IN",$108K - $151K (Glassdoor est.),"Must have a valid driver's license and acceptable driving record. Proven ability to lead Telco infrastructure initiatives through effective technical oversight…&hellip;
      
        Skills: Contract management, Operations management, Public speaking, Change management, Analysis skills",4d
Front End UI/UX Developer,Software Technology,"Indianapolis, IN",$84K - $126K (Glassdoor est.),"Bachelor of Arts or Bachelor of Science in Engineering, Computer Science, or a related field. Proactively approach new technologies, systems, and design…&hellip;
      
        Skills: Web accessibility, Computer science, CSS, Bootstrap, .NET",25d
Employee Success Lead Data Engineer,Salesforce,"Indianapolis, IN",$96K - $155K (Glassdoor est.),"Deep understanding of data engineering concepts, database design, tools, and architecture. You will partner with business teams to translate requirements into…&hellip;
      
        Skills: Computer science, Data modeling, Business intelligence, Git, SQL",30d+
Technical Support Engineer,Salesforce,"Indianapolis, IN",$81K - $122K (Employer provided),"Communicate complex technical concepts clearly to both technical and non-technical stakeholders. 2+ years of experience in technical support, software…&hellip;
      
        Skills: Knowledge management, Spanish, Computer science, CSS, Web development",22d
"Software Engineering MTS, Salesforce Engineer",Salesforce,"Indianapolis, IN",$107K - $140K (Glassdoor est.),"You will be responsible through all phases of the development lifecycle, from initial technical designs, implementation, testing, to production deployments.&hellip;
      
        Skills: Data modeling, TestNG, Selenium, Git, Java",4d
Senior Solution Engineer,Snowflake,"Indianapolis, IN",$165K - $289K (Employer provided),"You are equally comfortable in both a business and technical context, interacting with executives and talking shop with technical audiences.&hellip;
      
        Skills: SQL, Presentation skills, Data analytics, Product demos, AI",18d
"Manufacturing Engineer, Automation and Controls",Rolls-Royce,"Indianapolis, IN",$94K - $153K (Employer provided),"In this role, you will create, maintain and continuously improve manufacturing processes and ensure product integrity for component is delivered through…&hellip;
      
        Skills: Cost management, Fanuc, Project coordination, Continuous improvement, Distributed control systems",30d+
Entry Level Engineer/Developer,RoviSys,"Indianapolis, IN",$80K - $82K (Employer provided),"Design and develop electrical control systems that will interface with process manufacturing equipment and sensors. Design and develop automation systems.&hellip;
      
        Skills: C#, System design, Windows, Electrical engineering, SQL",30d+
"Manager, Software Engineering - Enterprise Platforms",Genesys,"Indianapolis, IN",$147K - $259K (Employer provided),"Lead the design and delivery of reusable platform services and components that enable application teams to build and scale AI, data, and cloud infrastructure…&hellip;
      
        Skills: Incident management, Test automation, AWS, Machine learning, Team management",12d
"Platform Engineer/Architect, SME P11",Feditc LLC,"Indianapolis, IN",$120K - $160K (Glassdoor est.),"Maintain applicable security clearance(s) at the level required by the client and/or applicable certification(s) as requested by FEDITC and/or required by…&hellip;
      
        Skills: Azure, FedRAMP, Enterprise software, FISMA, Windows",30d+
Systems Engineer,MichaelSilver,"Indianapolis, IN",$71K - $108K (Glassdoor est.),"The Systems Engineer is responsible for the design, implementation, and support of enterprise infrastructure systems across cloud and on-premise environments.&hellip;
      
        Skills: SSO, Computer science, Ansible, System design, Windows",5d
Principal AI Engineer,MISO,"Carmel, IN",$168K - $193K (Employer provided),"A Bachelor’s degree in Computer Science, Software Engineering, Data Science, Data Analytics or related field. Building scalable infrastructure and platforms to…&hellip;
      
        Skills: Market analysis, Spark, R, SQL, Docker",4d
Snowflake Data Engineer,Onebridge,"Indianapolis, IN",$71K - $105K (Glassdoor est.),"5+ years of experience in data engineering, data architecture, or a related technical discipline. You also bring a strong passion for AI‑assisted development…&hellip;
      
        Skills: Jira, Power BI, Azure, SQL, ServiceNow",11d
Full Stack Developer,Blue & Co.,"Carmel, IN",$55K - $93K (Glassdoor est.),"Build and optimize front-end web components and user interfaces using Angular and/or React. Bachelor’s degree in Computer Science, Information Technology, a…&hellip;
      
        Skills: Computer science, Power BI, Azure, C#, Test automation",26d
Computational Biology MLOps Engineer,Onebridge,"Indianapolis, IN",$66K - $102K (Glassdoor est.),"5+ years of overall industry experience in software engineering, DevOps, data engineering, or ML engineering roles, including 3+ years of focused MLOps…&hellip;
      
        Skills: TensorFlow, Azure, Software deployment, Google Cloud Platform, Databases",30d+
Site Reliability Engineer - Observability,Encora,"Indianapolis, IN",$71K - $107K (Glassdoor est.),"Bachelor's or Master's degree in Computer Science, Engineering, or related field. Manage incidents, perform root cause analysis, and implement preventative…&hellip;
      
        Skills: Azure, Kubernetes, IT service management, Disaster recovery, AWS",4d
Artificial Intelligence/Machine Learning Engineer,Wabash Valley Power,"Indianapolis, IN",$90K - $129K (Glassdoor est.),"Bachelor’s Degree in quantitative science, engineering, or other STEM field. Present artificial intelligence and data finding to technical and non-technical…&hellip;
      
        Skills: Data modeling, Customer service, R, System design, Databases",30d+
