Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Machine Learning Engineer (Automotive AI / Computer Vision / LLM),Intone Networks,"Los Altos, CA",$139K - $191K (Glassdoor est.),"Machine Learning Engineer (Automotive AI / Computer Vision / LLM…&hellip;
      
        Skills: Computer vision, Machine learning, AI",30d+
AI Engineer,Intone Networks,Remote,#N/A,"5+ years experience in machine learning, deep learning, and data science. 5+ years Experience with cloud platforms (AWS, Azure, GCP) and MLOps practices.&hellip;
      
        Skills: Azure, Google Cloud Platform, AWS, Data science, Python",30d+
AI Engineer,Intone Networks,Remote,#N/A,"Technical Expertise Full-Stack & Infrastructure • Expert-level understanding of infrastructure-as-code principles • Advanced front-end development using React •…&hellip;
      
        Skills: System design, Scalability, AI, Python",30d+
AI Engineer - NY,Photon,New York State,$40K - $141K (Employer provided),"This position is not available for independent contractors. Design and implement autonomous AI agents capable of reasoning, planning, and executing multi-step…&hellip;
      
        Skills: Scalability, Front-end development, UI, AI, Graph databases",30d+
AI Engineer,Airwallex,"San Francisco, CA",$120K - $200K (Employer provided),"Architect and deploy AI agents using frameworks like LangChain, LlamaIndex, AutoGen, CrewAI, Semantic Kernel, and emerging OSS stacks.&hellip;
      
        Skills: TensorFlow, Software deployment, Scalability, AI",30d+
AI ML Engineer,Tata Consultancy Services,"Clearwater, FL",$95K - $135K (Employer provided),"Not a pure data analyst this is an engineering-focused ML/GenAI role. This role is for a hands-on Data Science Engineer who will design, build, and deploy…&hellip;
      
        Skills: Azure, MongoDB, Scalability, AI, Python",11d
AI Engineer,Tata Consultancy Services,"Tampa, FL",$64K - $100K (Employer provided),"As an AI Engineer, you will design, develop, and deploy AI-driven solutions using Python and advanced frameworks.&hellip;
      
        Skills: Performance tuning, Natural language processing, Semantic Web, Scalability, AI",30d+
Gen AI Engineer,Tata Consultancy Services,"Edison, NJ",$80K - $90K (Employer provided),"Knowledge in Generative AI tools like LangChain, Hugging Face, Llama Index etc. Deployment and maintenance of AI models across all environments including…&hellip;
      
        Skills: Git, Docker, Natural language processing, Software testing, AI",18d
Python Ai Engineer,Tata Consultancy Services,"Tampa, FL",$100K - $130K (Employer provided),"Collaboration: Work with front-end developers, IT teams, and stakeholders to define and implement software solutions.&hellip;
      
        Skills: Statistics, Azure, Data structures, NoSQL, Google Cloud Platform",30d+
AI Application Engineer,Apple,"Cupertino, CA",$172K - $302K (Employer provided),"Deploy and support AI tools for hardware engineering teams. In this role, you'll work at the intersection of applied AI and software engineering-translating…&hellip;
      
        Skills: TensorFlow, Java, Scalability, AI",5d
AI Application Engineer,Apple,"San Francisco, CA",$140K - $210K (Employer provided),"Deploy and support AI tools for hardware engineering teams. In this role, you'll work at the intersection of applied AI and software engineering-translating…&hellip;
      
        Skills: TensorFlow, Java, Scalability, AI",5d
