Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Data Analyst,Queensland Government,Australia,#N/A,"Design and develop reports and present data utilising a range of information management solutions. The Data Analyst will participate in the design, development…&hellip;",14d
Junior Data Analyst/Scientist,Centre for Applied Data Analytics Research,Australia,#N/A,"Experienced in data-driven analytics hands-on experience with deep know-how of predictive modeling, machine learning and data mining, and relevant modeling…&hellip;
      
        Skills: Statistics, SAS, SQL, Scripting, Software development",30d+
Data Analyst,Cancer Institute NSW,St Leonards,A$114K - A$135K (Employer provided),"Tertiary qualifications in public health, computer science, data science, statistics, information management or other relevant discipline.&hellip;
      
        Skills: SQL",7d
Data Analyst,Phillip Riley,Adelaide,A$88K - A$108K (Employer provided),"Analyses and interprets data to produce relevant statistics to describe and infer trends and patterns, solve problems and answer data-related queries.&hellip;
      
        Skills: Analysis skills, Presentation skills, Data collection",5d
Analyst Data,The Perth Mint,Australia,A$110K (Employer provided),"Competitive salaries and employee discounts. Tertiary qualification in Information Technology or related discipline. Permanent role with flexible hours.&hellip;
      
        Skills: Power BI",19d
Data Analyst,TransGrid,Sydney,A$136K - A$160K (Glassdoor est.),"Employees have access to a range of corporate discounts across retail, utilities, travel, and health and wellbeing, as well as novated leasing options,…&hellip;
      
        Skills: Power BI, Microsoft Excel, Data analysis skills",4d
Data Analytics Visualisation Analyst,Pyramid Global Technologies,Western Australia,#N/A,"Complete project related technical documentation as required, including but not limited to System Architecture, registration and design patterns.&hellip;
      
        Skills: Jira, Confluence",30d+
Data Analyst,Aututech,Altona North,A$50K - A$120K (Glassdoor est.),"Minimum of 3 years’ experience of working on data analysis and complex data management projects, particularly in the area of master data management.&hellip;
      
        Skills: Bilingual, Mandarin, Power BI, Microsoft Excel, Multilingual",30d+
Data Analyst,State Government of Victoria,Melbourne,A$98K - A$111K (Employer provided),"A tertiary qualification in analytics, data science or something similar. This position is only open to applicants with relevant rights to work in Australia.&hellip;
      
        Skills: Analytics",24h
Data Analyst,NSW Government,Sydney,A$114K - A$135K (Employer provided),"Tertiary qualifications in public health, computer science, data science, statistics, information management or other relevant discipline.&hellip;
      
        Skills: SQL",8d
Business Intelligence Analyst,Dabble (Australia),Darwin,A$110K - A$130K (Employer provided),"A degree in a relevant discipline such as Computer Science, Data Analytics, Statistics, or a related field (or equivalent practical experience).&hellip;
      
        Skills: Power BI, Data modelling, Microsoft Excel, Data analysis skills, Git",26d
Data Analyst,Barry.Nilsson.,Australia,#N/A,"Access to our Health & Wellbeing program, BNWell, which supports the mental, physical and financial wellbeing of our people including a yearly health &…&hellip;
      
        Skills: Power BI, Data modelling, Microsoft SQL Server, SSRS, SQL",30d+
Data Analyst,Bottrell Business Consultants,Newcastle,A$78K - A$85K (Glassdoor est.),"Bachelor’s degree in Data Science, Finance, Accounting, or a related field. Our team is dedicated to supporting client success with data-driven insights and…&hellip;
      
        Skills: Power BI, Microsoft Excel, Accounting software, Data analysis skills, Tableau",14d
Junior Data Analyst (Short Term Contract),Jaybro,Arndell Park,A$75K - A$95K (Glassdoor est.),"Refresh and update Excel dashboards to keep supply chain data current and easy to read. As part of Jaybro Group's recruitment process you may be required to…&hellip;
      
        Skills: Power BI, Microsoft Excel, SAP, Supply chain, ERP systems",4d
Operational Data and Reporting Analyst,Northern Territory Department of Corporate and Digital Development,Darwin,A$100K - A$111K (Employer provided),"Relevant Information Technology Infrastructure Library (ITIL®) qualification or similar certification. Interpret and investigate business requests from client…&hellip;
      
        Skills: Jira, Crystal Reports, Power BI, SQL, Confluence",20d
Data Migration Analyst,O’Brien Glass Industries,Padstow,A$100K - A$130K (Glassdoor est.),"Play a key role in reducing business risk and safeguarding data integrity. 3–5+ years’ experience in data migration, data engineering, or data analysis roles.&hellip;
      
        Skills: CRM software, CI/CD, Computer science, Controlling experience, Power BI",18d
Reporting Insights Analyst,John Holland,Adelaide,A$75K - A$76K (Glassdoor est.),"Additional certifications or qualifications relevant to data analysis and digital tools will be highly regarded. Proficiency with Power BI Desktop software.&hellip;
      
        Skills: Power BI, JSON",29d
Data and Reporting Analyst,Abergeldie Complex Infrastructure,Auburn,A$91K - A$138K (Glassdoor est.),"Contribute to improving data quality and reporting frameworks across the program. Work closely with stakeholders to improve how data is captured, structured and…&hellip;
      
        Skills: Power BI, Data modelling, Data analysis skills, Communication skills",12d
DATA ANALYST,Tata Consultancy Services,Melbourne,A$60K - A$67K (Glassdoor est.),"Experience with data quality/observability tooling (including Collibra DQ/Observability or equivalents) and Data Catalog/MDE integrations.&hellip;
      
        Skills: CI/CD, Hospitality, Data modelling, Git, SQL",30d+
Data Analyst,EdgeRed Analytics,Sydney,A$90K (Employer provided),"A relevant tertiary qualification with at least 2 years of working experience in data analytics or a related field. $90,000 + Super + Bonus.&hellip;
      
        Skills: Power BI, Data modelling, Microsoft Excel, Tableau, SQL",12d
Data Analyst,DLight FM,Brisbane,A$50.50 - A$90.67 Per Hour (Employer provided),"Collect, analyze, and interpret data to identify trends and patterns relevant to our broadcasting operations. Perform data validation and ensure data integrity…&hellip;
      
        Skills: Power BI, Microsoft Excel, Data analysis skills, Tableau, SQL",8d
Group Insurance Analyst (Graduates welcome),Australia Group Insurances Pty Ltd,Sydney,A$75K - A$90K (Employer provided),"Improving the business process efficiency and compliance continuously, involving making suggestions for process enhancement, analysing business logic,…&hellip;
      
        Skills: Microsoft Excel, English",22d
Junior Developer Data Science and Analytics,Macquarie Group,Sydney,A$150K - A$180K (Glassdoor est.),"2 days of paid volunteer leave and donation matching. You will use your knowledge of Python, SQL and various other technologies to help our business grow by…&hellip;
      
        Skills: SQL, Communication skills",30d+
PMO Data Analyst,Siemens,Bayswater,A$77K - A$82K (Glassdoor est.),"You’ll produce high-quality reports and dashboards for business unit leadership, functional heads, and project teams, offering clear visibility into project…&hellip;
      
        Skills: Power BI, Microsoft Excel, Administrative experience, Analysis skills, SharePoint",30d+
Data Analyst,Churches of Christ in Queensland,Kenmore,A$83K - A$123K (Glassdoor est.),"Develop and maintain intuitive dashboards and reports using Power BI, Excel, and other relevant tools to support data‑driven decision making.&hellip;
      
        Skills: Power BI, Microsoft Excel, Presentation skills",18d
Data Analyst - Associate,EY,Sydney,A$83K - A$91K (Glassdoor est.),"Tertiary education qualification(s) in Business, IT or STEM related disciplines. Experience with developing data visualisation dashboards for communication of…&hellip;
      
        Skills: Power BI, Azure, Data analysis skills, SQL, Recruiting",30d+
Data Analyst,UP UP UP,Melbourne,A$115K - A$145K (Employer provided),"Great city office and perks (rooftop, gym and personal trainer, games…). Communication skills - you can explain technical findings to non-technical humans…&hellip;
      
        Skills: Power BI, Microsoft Excel, Tableau, SQL, PostgreSQL",30d+
ICT Business Analyst,Spring Sciences Australia,Caboolture,A$75K - A$85K (Employer provided),"1 -3 years of relevant experience as an ICT Business Analyst or similar role. As part of our thorough recruitment process, we may conduct various checks,…&hellip;
      
        Skills: Power BI, Microsoft Excel, ERP systems, Business analysis, Data analysis skills",20d
Data Analyst,Unisson Disability,Hornsby,A$75K - A$95K (Glassdoor est.),"This is a key role within our IT team, focused on strengthening the quality, integrity and usability of data across the organisation.&hellip;
      
        Skills: Power BI, Data analysis skills",6d
