Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Data Analyst,Queen's University,Kingston,CA$45K - CA$48K (Glassdoor est.),"Actively participate in project team meetings and develop individual and unit project plans. In addition, requires trade certification, qualification, or on-…&hellip;
      
        Skills: Metadata",5d
Data Analyst,Hive.co,Toronto,CA$80K - CA$110K (Employer provided),"Collaborating with our Data Engineer to ingest data and develop the models & analysis required to answer the business’ highest priority questions.&hellip;
      
        Skills: Data modeling, Apache Hive, SQL, Analysis skills, Data visualization",30d+
DEVELOPER / DATA ANALYST,AXIS Integrated,Mississauga,CA$55K - CA$88K (Glassdoor est.),"A minimum of 1-2 years work experience in data processing and/or database development. College or University degree in Computer Science / Mathematics or a…&hellip;
      
        Skills: Microsoft Word, Microsoft Excel, Microsoft Access, Visual Basic, Database development",30d+
Data Systems Analyst,Aecon,Oshawa,CA$65K - CA$75K (Employer provided),"This role combines data analytics, reporting development, systems coordination, workflow automation, and stakeholder support to enable effective project…&hellip;
      
        Skills: Power BI, Microsoft Excel, Usability",21d
Data Analyst I,British Columbia College of Nurses and Midwives,Vancouver,CA$86K - CA$89K (Employer provided),"The British Columbia College of Nurses & Midwives (“BCCNM”) is the college empowered under the Health Professions Act to regulate the practice of all licensed…&hellip;
      
        Skills: Power BI, Data modeling, Microsoft Excel, Azure, Relational databases",30d+
Analyst - AI & Data Transformation,Deloitte,Toronto,CA$50K - CA$90K (Employer provided),"An undergraduate and/or master’s degree from an accredited institution. Supporting the development of Proofs of Concept, governance models, and roadmaps to turn…&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Excel, Recruiting, Organizational skills, Data visualization",30d+
Data Analyst,Stanley Black & Decker,Mississauga,CA$60K - CA$70K (Employer provided),"Education: Bachelor’s degree in Data Science, Statistics, Computer Science, Mathematics, Business Analytics, Information Systems, or a related field.&hellip;
      
        Skills: Power BI, Microsoft Excel, Business intelligence, Alteryx, Data analysis skills",30d+
Business Data Analyst,S&C Electric Company,Toronto,CA$80K - CA$106K (Employer provided),"The ideal candidate will have a degree/certificate in Computer Science with demonstrated experience in data modelling and dashboard deployment.&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Word, Statistical software, Statistics, Computer science",6d
Amended - Data and Quality Analyst,Ministry of Finance,Toronto,CA$80K - CA$115K (Employer provided),"Toutes les offres d'emploi externes de la fonction publique de l'Ontario (FPO) sont affichées en français et en anglais. $80,089.00 - $115,402.00 Per year.&hellip;
      
        Skills: Bilingual, French, Computer operation, Business intelligence, English",18d
Data Analyst,J.D. Irving,Saint John,CA$54K - CA$59K (Glassdoor est.),"Bachelor’s degree in Information Technology, Data Analytics, Computer Science, or a related field. By managing resources, delivering fast and flexible outcomes,…&hellip;
      
        Skills: Statistics, Power BI, Microsoft Excel, Business analysis, Alteryx",30d+
Data Analyst,Vretta,Toronto,CA$63K - CA$67K (Glassdoor est.),"This position requires excellent communication skills, creative problem solving ability, and a sound technical ability to be able to understand requirements,…&hellip;
      
        Skills: R, SQL, JavaScript, REST, Software development",30d+
Data Analyst,MSi Corp,Ottawa,CA$65K - CA$103K (Glassdoor est.),"Experience with ETL development as a data analyst. Experience in the development of complex data queries and processes using various tools and technologies.&hellip;
      
        Skills: Microsoft Powerpoint, Bilingual, French, MATLAB, Microsoft Excel",30d+
