Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Insights and Analytics Adobe CJA Consultant,Deloitte,"Indianapolis, IN",$80K - $148K (Employer provided),"Bring extensive knowledge across paid, owned, and earned, with a focus of analytical expertise in one or more of the following: omnichannel, media (display,…&hellip;
      
        Skills: Social listening, Salesforce Marketing Cloud, Marketing mix modeling, Tableau, SQL",30d+
Data Analyst/FM Product Consultant,Guidehouse,"Indianapolis, IN",$72K - $105K (Glassdoor est.),"Advanced degree in finance, accounting, data analytics, information systems, or a related field. Bachelor’s degree in finance, accounting, data analytics,…&hellip;
      
        Skills: Power BI, SAFe, QlikView, DoD experience, Financial analysis",30d+
"Data Analyst - Indianapolis, IN",Software Technology,"Indianapolis, IN",$75K - $138K (Glassdoor est.),"Working knowledge of epidemiological methods, study design, and analysis needed with an understanding of both qualitative and quantitative data.&hellip;
      
        Skills: Statistics, Program management, Microsoft Excel, Data mining, SAS",30d+
"Help Desk/Data Quality Analyst - Indianapolis, IN/Hybrid",Software Technology,"Indianapolis, IN",$71K - $122K (Glassdoor est.),"Support implementation of HL7 and IIS data exchange standards by validating message integrity and field mapping.&hellip;
      
        Skills: Process improvement, Help desk, T-SQL, Analytics",30d+
"Helpdesk Data Entry Analyst - Indianapolis, IN",Software Technology,"Indianapolis, IN",$51K - $91K (Glassdoor est.),"Utilize data tools and matching algorithms to identify and correct data integrity issues. Provide guidance to users on best practices for data entry and record…&hellip;
      
        Skills: Data entry, Software testing, Communication skills",30d+
Healthcare Data Quality Analyst,American Technology Consulting,"Indianapolis, IN",$75K - $121K (Glassdoor est.),"Develop and execute data validation and cleansing routines using SQL/T-SQL and other tools. A strong foundation in T-SQL is essential for managing large data…&hellip;
      
        Skills: Process improvement, Metadata, Root cause analysis, Requirements gathering, T-SQL",30d+
Data Analytics Specialists,American Technology Consulting,"Indianapolis, IN",$82K - $124K (Glassdoor est.),"Ensure technical designs accurately represent the requirements and functional designs. Consulting, analysis, design, and development services in support of the…&hellip;
      
        Skills: Tableau, SQL, Mentoring, Data analytics",30d+
Data Quality Analyst,American Technology Consulting,"Indianapolis, IN",$65K - $101K (Glassdoor est.),"Develop and execute data validation and cleansing routines using SQL/T-SQL and other tools. A strong foundation in T-SQL is essential for managing large data…&hellip;
      
        Skills: Process improvement, Metadata, Root cause analysis, Requirements gathering, T-SQL",30d+
Financial Data Analyst,American Technology Consulting,"Indianapolis, IN",$64K - $98K (Glassdoor est.),"Adhere to HIPAA and other state statutes related to protecting data confidentiality and individual privacy. Assist with developing and maintaining metrics and…&hellip;
      
        Skills: Operations management, HIPAA, Quality assurance, Communication skills",30d+
Data Analyst,American Technology Consulting,"Indianapolis, IN",$66K - $103K (Glassdoor est.),"Working knowledge of epidemiological methods, study design, and analysis needed with an understanding of both qualitative and quantitative data.&hellip;
      
        Skills: Statistics, Program management, Microsoft Excel, Data mining, SAS",30d+
