Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Cybersecurity Data Analyst,Infocomm Media Development Authority,Singapore,#N/A,"At least 3 year of experience in data transformation, interpretation, and quantitative data analysis. You will be part of the cyber operations function of the…&hellip;
      
        Skills: Computer science, Big data, Writing skills, Spark, Data analysis skills",30d+
"Data Analyst, AI & Data, Technology Consulting",EY,Singapore,#N/A,"Bachelor’s degree in Computer Science, Information Technology, or a related field. Minimum of 1 year of experience as a Data Analyst with experience in ETL…&hellip;
      
        Skills: Performance tuning, Power BI, Azure, Management, Business intelligence",29d
Associate Master Data Analyst,Crocs,Singapore,#N/A,"Minimum 1 year of related experience in SAP master data management is preferred. Ensure data quality, compliance and consistency of master data across business…&hellip;
      
        Skills: Microsoft Word, Microsoft Outlook, SAP, ERP systems, Analysis skills",30d+
Data Analytics Intern,Singtel,Singapore,#N/A,"Analyze data and transform data. Deep dive security alert data and apply AIML model. University Degree in relevant discipline.&hellip;
      
        Skills: Power BI, Windows, Tableau, SQL, Data visualization",30d+
Training Operation Coding Analyst - Seed Global Data,ByteDance,Singapore,SGD 83K - SGD 119K (Glassdoor est.),"As a key member of our LLM Global Data Team, the LLM Training Operations Analyst will play a pivotal role in managing the intricate processes involved in…&hellip;
      
        Skills: Mandarin, Operations management, Git, English, Java",30d+
Data Analyst,SGInnovate,Singapore,#N/A,"Good to have knowledge on analytical techniques such as machine learning, text mining, web scraping, natural language processing, etc.&hellip;
      
        Skills: Investment, Power BI, R, Alteryx, Microsoft SQL Server",14d
Data Analyst Intern,Darwinbox,Singapore,#N/A,"Currently pursuing or recently completed a Bachelor’s degree in Computer Science, Data Analytics, Finance, Economics, Engineering, or a related field.&hellip;
      
        Skills: SQL, Analysis skills, Linux, Communication skills, Python",12d
Business Analyst,TECH GRID ASIA,Singapore,SGD 9K - SGD 14K (Employer provided),"Conduct detailed analysis of banking business processes and systems across: As a Senior Analyst, you’ll play a pivotal role in bridging business needs with…&hellip;
      
        Skills: Business analysis",30d+
Data Migration Analyst,Government Organization,Singapore,SGD 3K - SGD 4K (Employer provided),"Execute manual data migration by transferring data from Excel into internal systems. Perform data validation and verification using Excel, including:&hellip;",12d
"Intern, Product Management (Data Analyst)",CapitaLand,Singapore,#N/A,"Currently pursuing a diploma/degree in Data Analytics, Data Science, Computer Science, Statistics, or a related field.&hellip;
      
        Skills: Power BI, Mobile applications, R, Application development, SQL",12d
Data Analyst (VOC) - Singapore,PLAUD AI,Singapore,#N/A,"Partner with Customer Service and Operations stakeholders to translate insights into data-informed actions and continuous improvement.&hellip;
      
        Skills: SQL, Data analytics",30d+
Quant Analyst,Mathrix Education,Singapore,SGD 84K - SGD 150K (Glassdoor est.),"Experience with programming (Python or another language). You spend a lot of time writing code and creating systems that can handle complex data and complex…&hellip;
      
        Skills: Python",30d+
Data Analyst Intern,Logicalis,Singapore,#N/A,"Currently pursuing a Bachelor's degree or higher in Analytics, Mathematics, Statistics, Engineering, Computer Science, or a related field.&hellip;
      
        Skills: Power BI, Accounts payable, IT service management, SQL, Analysis skills",30d+
Manpower Development Data Analyst,IBF Singapore,Singapore,#N/A,"Responsibilities:You will be part of a strategic and dynamic team and will be responsible for:Analysis of jobs and skills data for the financial services sector…&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Excel, Business intelligence, R, Microsoft Office",30d+
Data Analyst (Internship) (H2 2026),ShopBack,Singapore,#N/A,"Build a strong understanding of ShopBack’s data ecosystems within the internal teams and be the data evangelist who makes sure we make the best use of available…&hellip;
      
        Skills: SQL, Communication skills, Python",30d+
"Data Analyst - Brand Analytics, Regional Brand Partnership (2026 Graduate)",Shopee,Singapore,#N/A,"Bachelor’s Degree in Data Analytics, Business Analytics or any relevant field. As business intelligence specialists and data analysts, our scope of work is not…&hellip;
      
        Skills: SQL, Communication skills, Python",30d+
"Business Intelligence Intern, Power BI & Analytics",Seagate Technology,Singapore,#N/A,"IT Collaboration: Partner with IT and data engineering teams to understand data structures, data refresh processes, and data governance standards.&hellip;
      
        Skills: Power BI, Databases, SQL, Analysis skills, Data analytics",16d
Data Analyst - Shopee (2026 Fresh Graduates),Shopee,Singapore,#N/A,"Bachelor's degree or above in Business Analytics, Statistics, Computer Science and Mathematics, Engineering or a related science/tech field.&hellip;
      
        Skills: Web analytics, E-commerce, Data visualization",30d+
"Junior Data Analyst - Business Intelligence, Regional Operations",Shopee,Singapore,#N/A,"Build and maintain data infrastructure (data pipelines, aggregated data sets, reports, dashboards) to facilitate development of key metrics to measure…&hellip;
      
        Skills: Big data, Spark, Tableau, SQL, Usability",30d+
Data Analyst,St.Hua Private School,Jurong East New Town,#N/A,"Gain knowledge and experience in the field of artificial intelligence, deep learning and computer vision through hands-on projects.&hellip;
      
        Skills: Power BI, Tableau, SQL, Machine learning, Deep learning",30d+
Supply Chain Data Analyst,Advanced Energy,Hougang New Town,#N/A,"Degree in Computer Science, Information Technology, or a related STEM field. Identify data sources, collect data through manual or automated means, source…&hellip;
      
        Skills: Jira, Power BI, Azure, SAP, Supply chain",30d+
Junior Analyst,Publicis Groupe,Singapore,#N/A,"At least up to 1 year experience; or recent graduate in statistics, economics, data science, computer science, or related field. Go ahead, the world is waiting.&hellip;
      
        Skills: Power BI, R, Tableau, SQL, Analysis skills",30d+
Data Business Analyst Project Intern (Global Business Solutions) - 2025 Start (BS/MS),TikTok,Singapore,#N/A,"Experience with proprietary data, proficient in Excel; SQL skills are preferred. Assist business teams in organizing data logic, including basic data and…&hellip;
      
        Skills: SQL, Communication skills",30d+
Business Analyst - Data Strategy Delivery & BI,HSBC,Queenstown Estate,#N/A,"Conduct detailed analysis of business processes, systems, and data to identify opportunities for improvement and automation.&hellip;
      
        Skills: Microsoft Powerpoint, Power BI, Alteryx, SQL, Project management",7d
Forensics and Intelligence Data Analyst,Mastercard,Singapore,#N/A,"Partner with industry stakeholders to evaluate data usage and pain points, identify data gaps, and proactively recommend how Mastercard’s data, services, and…&hellip;
      
        Skills: Accounts payable, Analysis skills, Forecasting, Data analytics, Fraud prevention and detection",15d
Data Analyst,Overmind,Remote,#N/A,"Mastery of SQL and data analysis. You will be responsible for managing the company’s user acquisition and retention funnels. Love for BI and dashboards.&hellip;
      
        Skills: Data analysis skills, SQL, Python",30d+
"Assistant Manager (Data Analyst), Corporate Planning & Performance Management",National University Health System,Queenstown Estate,#N/A,"Support organisational strategic planning through data-driven analytics and insights by conducting current and future-state population/patient profile analysis…&hellip;
      
        Skills: Microsoft Office, SQL",30d+
Data Analyst / Data Science Intern,Suntory Oceania,Singapore,#N/A,"Final year undergraduate or early-stage master’s student in Business Analytics, Statistics, Computer Science, Operations Research, or related field.&hellip;
      
        Skills: Power BI, Google Cloud Platform, Tableau, SQL, Analysis skills",30d+
"Data Analyst Intern - Product Analysis, Regional Operations (Summer 2026)",Shopee,Singapore,#N/A,"Apply AI-assisted analysis tools (e.g. natural language querying, insight generation, text analysis) to explore data, identify patterns, and generate first-pass…&hellip;
      
        Skills: SQL, Analysis skills, Release management, Python",30d+
Pricing Analyst (Singapore),AEG Fuels,Singapore,#N/A,"Past experience in aviation or aviation related field. Maximize employee engagement levels in building a high-performance team and culture through effective…&hellip;
      
        Skills: English, Communication skills",30d+
