Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Junior CRO Analyst,schuh,"Livingston, Scotland",#N/A,"Development and progression opportunities across store and Head Office. Manage, save and access your wages as you earn them to get paid your way.&hellip;
      
        Skills: Communication skills",14d
Technical Business Analyst,Butterfly Data,Remote,FCFA 40K - FCFA 55K (Employer provided),"Develop a strong understanding of the business context and processes impacting a digital product or service, selecting best-practice approaches to drive value…&hellip;
      
        Skills: Power BI, SAFe, Azure, SAS, Business analysis",21d
Data Analyst,Troo (United Kingdom),United Kingdom,£30K - £35K (Employer provided),"Working with CRM and sales data (HubSpot), alongside wider operational and energy market datasets. Hybrid working (3 days in office, Sunderland HQ).&hellip;
      
        Skills: CRM software, Power BI, Microsoft Excel, Azure, Salesforce",4d
Data Governance Analyst- 21 hour contract,Barclays,"Glasgow, Scotland",£38K - £56K (Glassdoor est.),"Join us as a Data Governance Analyst - 21 hour contract- Working in Chief Data Analytics Office of UK Corporate Bank and Global Transaction Banking - you will…&hellip;
      
        Skills: IT, Metadata, Banking",24h
Junior IT Support Engineer & Data Analyst,Premier Components Ltd,"Stratford-upon-Avon, England",£30K - £40K (Employer provided),"Support social media management tasks where required. Knowledge of Microsoft Windows Server administration. Assist with local network cabling and testing.&hellip;
      
        Skills: Microsoft Windows Server, Adobe Photoshop, Microsoft Excel, CSS, IIS",21d
Junior Data Analyst,Qualient Solutions,"London, England",£36K - £68K (Glassdoor est.),"Knowledge of digital analytics solutions (ie Adobe Analytics or Google Analytics) and other traditional analytics solutions.&hellip;
      
        Skills: Data analysis skills, Google Analytics",30d+
Data Analyst,MWH Treatment,"Stepps, Scotland",£29K - £34K (Glassdoor est.),"You will report directly to the Head of Strategy and PMO, and the role purpose is to develop, implement, manage, continually review and refine ESD’s information…&hellip;",30d+
BI Analyst,Valda Energy,"Bicester, England",£30K - £35K (Employer provided),"Strong skills in working with data, Excel, and at least one query/programming language (e.g. SQL, Python). Knowledge of data visualisation tools such as Power…&hellip;
      
        Skills: Power BI, Microsoft Excel, Business intelligence, Spark, Tableau",14d
Data Migration Analyst,Complii FinTech Solutions,Remote,FCFA 40K - FCFA 50K (Employer provided),"Leading and executing data migration activities for newly acquired businesses, ensuring accuracy and completeness across all datasets.&hellip;
      
        Skills: Microsoft Excel, Data structures",6d
Junior Reporting Analyst,CONTEXTworld,Remote,#N/A,"Operational Support: Investigate data issues, inquiries, and resolve recurring production bottlenecks in collaboration with the Development team, provide data…&hellip;
      
        Skills: Microsoft Excel, Data analysis skills, English, SQL, Pivot tables",30d+
