Job Title,Company,Location,Salary Estimate,Job Description,Job Age
"Business Analyst - Lease Administration, Amazon Web Services",Amazon,"Seattle, WA",$80K - $98K (Employer provided),"Ability to troubleshoot basic technical issues. This role will work with team leadership to support global governance initiatives, coordinate stakeholder…&hellip;
      
        Skills: Power BI, Relational databases, Yardi, Tableau, SQL",30d+
ICQA Data Analyst,Amazon,"Avenel, NJ",$25.00 Per Hour (Employer provided),"Responsible for teaching leadership team how to interpret data trends as needed. Starting Day 1 of employment, Amazon offers EAP, Mental Health Support, Medical…&hellip;
      
        Skills: Microsoft Outlook, Data mining, Process improvement, Research, SOX",11d
"Business Analyst II, SWA Data & Analytics",Amazon,"Bellevue, WA",$83K - $130K (Employer provided),"As this position involves regular interaction both technical and non-technical leaders from the peer to VP level, you need to be comfortable communicating at…&hellip;
      
        Skills: Supply chain, Tableau, Financial analysis, SQL, Analysis skills",5d
"Data Analyst, OSD",Chicago Public Schools,"Chicago, IL",$54K - $78K (Employer provided),"Minimum of two (2) years of professional experience in a relevant field and a role requiring data analysis skills, including experience writing code with data…&hellip;
      
        Skills: Statistics, SAS, Writing skills, R, Business analysis",30d+
Data Analyst - Mid-Career,Lockheed Martin,"Liverpool, NY",$86K - $151K (Employer provided),"You possess technical proficiency with tools, embrace a continuous learning mindset, communicate effectively, are able to collaborate with others, and are…&hellip;
      
        Skills: Jira, SAP, Alteryx, Tableau, SQL",6d
ANALYST II,State of California State Personnel Board,"Orange, CA",$6K - $8K (Employer provided),"Reviews, analyzes, tracks, and monitors proposed legislation and advises management on the impact; conducts policy analysis and make recommendations to…&hellip;
      
        Skills: Computer operation, Microsoft Excel, Microsoft Outlook, Computer literacy, Research",7d
Data Analyst,Centstone,"Santa Clara, CA",$97K - $142K (Glassdoor est.),"Provide analysis on supply trends, gaps, or risks, and suggets corrective actions. Ensure data accuracy and consistency across various reporting tools and…&hellip;
      
        Skills: Statistics, Supply chain, Process improvement, Google Cloud Platform, Tableau",30d+
BSA – Senior (Data Analyst),Huntington Bank,"Detroit, MI",$63K - $90K (Glassdoor est.),"Perform behavioral analysis on asset usage data, interpret its impact on performance metrics, and deliver tailored insights to both technical and non-technical…&hellip;
      
        Skills: Incident management, Business analysis, Tableau, Financial analysis, Databases",7d
AI Analytics Analyst,Panorama,"Orlando, FL",$66K - $96K (Glassdoor est.),"Work under channel analysts to answer complex, cross‑channel questions using AI‑assisted analysis. As GRO scales to new brands, distribution partners, and…&hellip;
      
        Skills: Hospitality, Power BI, Incident management, SQL, Analysis skills",11d
Data Analyst,CACI International,"Chantilly, VA",$87K - $182K (Employer provided),"Responsible for developing technical solutions that may require collaboration with internal expertise and deep analysis of the technical system.&hellip;
      
        Skills: Statistics, Power BI, Process improvement, DoD experience, Databases",21d
