Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Junior Data Analyst/Scientist,Centre for Applied Data Analytics Research,Australia,#N/A,"Experienced in data-driven analytics hands-on experience with deep know-how of predictive modeling, machine learning and data mining, and relevant modeling…&hellip;
      
        Skills: Statistics, SAS, SQL, Scripting, Software development",30d+
Artificial Intelligence Developer / Data Scientist,Human Pixel,Ballarat,A$111K - A$140K (Glassdoor est.),"Develop and implement machine learning algorithms and models to drive data insights. Bachelor’s or Master’s degree in Computer Science, Data Science, Artificial…&hellip;
      
        Skills: Azure, Data analysis skills, Google Cloud Platform, AWS, Machine learning",30d+
Data Scientist,IntelliSense.io,Brisbane,A$104K - A$150K (Glassdoor est.),"Has 3+ years’ relevant experience or a PhD in a related field. We welcome applications from both mid-level and senior professionals; however, due to the…&hellip;",28d
Data Scientist,Western Australia Police Force,Perth,A$105K - A$115K (Employer provided),"Developing advanced data analytics practices. Developing solutions to highly complex problems requiring an understanding of data science techniques.&hellip;
      
        Skills: Analysis skills",6d
Data Scientist,Pyramid Global Technologies,Perth,A$78K - A$135K (Glassdoor est.),"Exposure in Developing data science projects which includes scoping, building, testing, implementation, maintenance, tracking and optimisation of models.&hellip;
      
        Skills: SQL, AWS, SVN, Machine learning, Deep learning",30d+
Data Scientist,Shift,Sydney,A$128K - A$158K (Glassdoor est.),"Work with diverse data sources (e.g. bank statements, credit bureaux, OCR) and ensure data integrity. Advanced data wrangling, working with complex and…&hellip;
      
        Skills: Statistics, SQL, Financial services, Communication skills",30d+
Data Scientist,HESTA,Melbourne,A$100K - A$135K (Glassdoor est.),"Tertiary qualification in statistics, mathematics, computer science, or related quantitative field. Your health and wellbeing matters, free annual flu shots and…&hellip;
      
        Skills: CI/CD, Financial planning, Azure, Deployment, Git",19d
Data Scientist,DoorDash,Melbourne,A$113K - A$190K (Glassdoor est.),"2+ years of experience in data analytics, consulting, or related quantitative role. Use quantitative analysis and the presentation of data to see beyond the…&hellip;
      
        Skills: SQL, Analytics",30d+
Data Scientist,Bupa,Melbourne,#N/A,"We take care of your health insurance with partially subsidised Bupa cover. Big discounts on travel, car, home, dental, optical & more.&hellip;
      
        Skills: Power BI, SAS, Tableau, SQL, Machine learning",30d+
"Senior Data Scientist, Trust",Linktree,Remote,#N/A,"Bachelor’s Degree in a quantitative field (Mathematics, Statistics, Computer Science, Physics, Economics, or related); an advanced degree (MS/PhD) is a strong…&hellip;
      
        Skills: Power BI, Tableau, SQL, Machine learning, Communication skills",30d+
Data Scientist,Virgin Australia,Sydney,A$111K - A$153K (Glassdoor est.),"Translate complex analyses into clear, actionable insights using effective data visualisation and storytelling for both technical and non technical audiences.&hellip;
      
        Skills: Data modelling, SQL, AWS, Machine learning, AI",22d
Research Officer - Computational Neuroscience and Data Scientist,The Florey Institute of Neuroscience and Mental Health,Australia,A$95K - A$102K (Employer provided),"PhD (or equivalent) in computational neuroscience, data science, biomedical engineering, computer science, neuroscience, or a related quantitative discipline.&hellip;
      
        Skills: MATLAB, Research, Machine learning",22d
DATA SCIENTIST,HBF,Melbourne,A$89K - A$100K (Glassdoor est.),"Access to corporate discounts across a range of gyms, retail, restaurants and hotels. You have spent at least 5 years working in hands on data, analytics or…&hellip;
      
        Skills: Power BI, Barista experience, Tableau, SQL, Analytics",24h
Data Scientist,RPMGlobal,Brisbane,A$78K - A$164K (Glassdoor est.),"Experience in data engineering or building data platforms. This role is ideal for someone who enjoys working across both data science and data engineering…&hellip;
      
        Skills: CI/CD, Azure, DevOps, Microsoft SQL Server, Application development",7d
"Lead, Measurement (Mathematician/Data Scientist/Statistician/Researcher)",NSW Government,Sydney,A$150K - A$173K (Employer provided),"A current NSW Working with Children Check (WWCC) clearance for paid employment is required before commencing in this role. Proficiency in TAM, dplyr and SQL.&hellip;
      
        Skills: Azure, Git, Research, SQL, AWS",14d
Data Scientist,Sportsbet,Melbourne,A$139K - A$176K (Glassdoor est.),"As a part of cross-functional teams, you will work with technical, commercial and risk & compliance stakeholders to deliver sustainable data science products.&hellip;
      
        Skills: AI",12d
Machine Learning Engineer / Data Scientist,The Argyle Network,Sydney,A$150K (Employer provided),"Experience working with financial, registry, or market data. Build smart systems – develop models for anomaly detection, forecasting, and data quality…&hellip;
      
        Skills: SQL, AWS, Terrafrom, S3, Redshift",30d+
Data Scientist,InfoTrack,Brisbane,A$78K - A$164K (Glassdoor est.),"Experience with data visualisation tools such as Tableau, Power BI, or equivalent. Solid understanding of data warehouses, dimensional data models, and data…&hellip;
      
        Skills: Power BI, Data modelling, Tableau, SQL, Analysis skills",25d
Data Scientist and Modelling,NobleOak,Sydney,A$97K - A$140K (Glassdoor est.),"Experience building automated, production-grade data pipelines with orchestration, data quality and governance controls.&hellip;
      
        Skills: Power BI, Data modelling, SQL, Financial services, Analytics",24h
Junior Developer Data Science and Analytics,Macquarie Group,Sydney,A$150K - A$180K (Glassdoor est.),"2 days of paid volunteer leave and donation matching. You will use your knowledge of Python, SQL and various other technologies to help our business grow by…&hellip;
      
        Skills: SQL, Communication skills",30d+
Data Scientist,Lumi,Sydney,A$120K - A$150K (Glassdoor est.),"Bachelor’s degree with Honours (Masters or PhD highly preferred) in statistics, mathematics, econometrics, or a related quantitative field, or equivalent…&hellip;
      
        Skills: Git, Google Cloud Platform, Tableau, SQL, AWS",21d
Data Scientist,XO Sports,Melbourne,A$85K - A$140K (Employer provided),"Azure Data Factory: 2 years (Required). Machine learning: 2 years (Required). Our platform is powered by Azure cloud, leveraging a broad range of data services…&hellip;
      
        Skills: Jira, Statistics, Azure, Deployment, Machine learning",21d
"Senior Data Scientist, Algorithm (Relo to SF)",Airwallex,Sydney,A$200K - A$250K (Employer provided),"Expert in data querying languages (e.g. SQL), scripting languages (e.g. Python), experience in schema design and dimensional data modeling a plus.&hellip;
      
        Skills: Investment, Data modelling, Salesforce, SQL, Machine learning",30d+
Lead Data Scientist,Macquarie Group,Sydney,A$150K - A$180K (Glassdoor est.),"You will also support the development of junior data scientists to enhance team capability. Proven track record of mentoring and growing junior data scientists…&hellip;
      
        Skills: CI/CD, Azure, Git, Google Cloud Platform, SQL",26d
Senior Data Scientist,NSW Department of Health,St Leonards,A$129K - A$143K (Employer provided),"As a Senior Data Scientist, you will be able to enhance your skills in data science through using a range of statistical analysis methods, tools and techniques…&hellip;
      
        Skills: Data modelling, Communication skills, Analytics",24h
Senior Data Scientist,Virgin Australia,Sydney,A$111K - A$153K (Glassdoor est.),"Translate complex analyses into clear, actionable insights using effective data visualisation and storytelling for both technical and non technical audiences.&hellip;
      
        Skills: Statistics, SQL, AWS, Machine learning, AI",22d
Senior Data Scientist,Ausgrid,Haymarket,A$190K (Employer provided),"Bachelor’s degree in Computer Science, Software Engineering or a related discipline. Proven experience working with Azure and largescale, cloudbased data…&hellip;
      
        Skills: CI/CD, Data modelling, Azure, Git, SQL",25d
Senior Data Scientist,Omnicom Media Group,Melbourne,A$150K - A$175K (Glassdoor est.),"Agency perks, early finish Fridays, culture club, breakfast, health and wellbeing initiatives. This role will also provide the opportunity to develop new…&hellip;
      
        Skills: Data modelling, Tableau, Databases, SQL, AWS",30d+
AI Prompt Engineer,SpinTel,Sydney,A$70K - A$140K (Employer provided),"Experience working with large datasets and data analysis tools. Bachelor’s or Master’s degree in Computer Science, Data Science, Statistics, Mathematics,…&hellip;
      
        Skills: Bilingual, Multilingual, Data analysis skills, SQL, Analysis skills",26d
"Data, AI, and Machine Learning | Multiple Opportunities Available",Deloitte,Sydney,A$79K - A$100K (Glassdoor est.),"To support your personal and professional life, we offer a range of perks and benefits, including retail discounts, wellbeing leave, paid volunteering days,…&hellip;
      
        Skills: Data modelling, Azure, Databases, SQL, AWS",30d+
