Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Data Scientist,CGI,Halifax,CA$65K - CA$125K (Employer provided),". A completed college diploma or university degree in related field. . University Degree / bachelor's degree. As a Data Scientist, you will design and implement…&hellip;
      
        Skills: Performance tuning, Power BI, Azure, DevOps, MongoDB",18d
data scientist,ONIKON Creative,Shediac,CA$42.00 - CA$45.00 Per Hour (Employer provided),"Design methods of collecting and processing data to answer specific research questions. Conduct research regarding availability and suitability of data.&hellip;
      
        Skills: English, SQL, Machine learning, Computer skills, Data visualization",10d
Data Scientist,Interac,Toronto,CA$90K - CA$120K (Employer provided),"Significant experience working with implementing concepts, such as predictive modeling, profiling, feature development, behavioral analysis, clustering, and…&hellip;
      
        Skills: Oracle, Data mining, Spark, Databases, SQL",30d+
Data Scientist,Koch,North Vancouver,CA$100K - CA$150K (Employer provided),"Bachelor's or Master's degree in Statistics, Mathematics, or a related field. You will ensure the statistical validity and business impact of our models by…&hellip;
      
        Skills: Statistics, SQL, Machine learning, Data analytics, A/B testing",30d+
Data Scientist,BGIS,Markham,CA$82K - CA$103K (Employer provided),"Utilize your educational background in a quantitative field, such as computer science, mathematics, or engineering, to analyze complex datasets and develop…&hellip;
      
        Skills: Power BI, Big data, R, Tableau, SQL",4d
Data Scientist,BNP Paribas,Montreal,CA$98K - CA$135K (Glassdoor est.),"You must be legally eligible to work in the Greater Montreal area and, if applicable, hold a valid work or study permit. Experience with modern RAG techniques.&hellip;
      
        Skills: Bilingual, French, CI/CD, Kubernetes, Spark",30d+
Pharmaceutical Data Scientist,Amaris Consulting,Canada,CA$50K - CA$100K (Employer provided),"Bachelor’s or Master’s degree in Data Science, Computer Science, Statistics, Mathematics, Bioinformatics, or related field.&hellip;
      
        Skills: TensorFlow, Statistics, Data modeling, Azure, Oracle",30d+
Data Scientist II,Scribd Inc.,Canada,CA$118K - CA$123K (Employer provided),"Bachelors or Masters in relevant quantitative discipline including but not limited to Statistics, Computer Science, Data Science, Artificial Intelligence or…&hellip;
      
        Skills: Spark, SQL, Machine learning, Natural language processing, APIs",18d
Data Scientist,Tripledot Studios,Canada,CA$95K - CA$115K (Employer provided),"Write production-quality code for data transformation, modelling, and simulation using modern data and software development practices.&hellip;
      
        Skills: SQL, Python",4d
Data Scientist,Geotab,Oakville,CA$102K - CA$125K (Employer provided),"Electric vehicle purchase incentive program. Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve…&hellip;
      
        Skills: TensorFlow, Google Suite, Data mining, Big data, Tableau",3d
Data Scientist,AXIS Capital,Halifax,CA$35K - CA$67K (Glassdoor est.),"You will be eligible for a comprehensive and competitive benefits package which includes medical plans for you and your family, health and wellness programs,…&hellip;
      
        Skills: Azure, DevOps, Research, SQL, Machine learning",30d+
data scientist,SnapPay,Mississauga,CA$98K - CA$150K (Employer provided),"Develop and implement data administration policy, standards and models. Operate database management systems to analyze data.&hellip;
      
        Skills: English, SASS, Computer skills, Linux, Data warehouse",30d+
Data Scientist,Opendoor,Toronto,CA$94K - CA$148K (Glassdoor est.),"In this role, you will be embedded within our consumer and seller experience groups, working closely with cross-functional partners across product, engineering,…&hellip;
      
        Skills: Statistics, Computer science, E-commerce, SQL, Statistical analysis",19d
Data Scientist,Allstate,Markham,CA$81K - CA$130K (Employer provided),"Lead coding and development using Python, Azure, and other data science toolkits, ensuring scalability and performance.&hellip;
      
        Skills: Azure, SAS, Java, SQL, Project management",30d+
Scientifique de données | Data Scientist,Pratt & Whitney,Longueuil,CA$70K - CA$115K (Glassdoor est.),"Expérience pratique avec les algorithmes d’apprentissage supervisé et non supervisé, l’évaluation et la validation des modèles, l’ingénierie des variables et le…&hellip;
      
        Skills: Azure, Git, English, AWS, Machine learning",16d
"Data Scientist - Decisions, Mapping",Lyft,Toronto,CA$108K - CA$135K (Employer provided),"Contribute to the Science community (hiring, onboarding, documentation, knowledge-sharing, tooling improvements), helping make Decision Science at Lyft more…&hellip;
      
        Skills: TensorFlow, R, SQL, Statistical analysis, Machine learning",30d+
"Data Scientist, Product Analytics",Leap Tools,Toronto,CA$80K - CA$110K (Employer provided),"Proactively identify and interpret trends in the data to inform product development efforts, sales efforts and thought leadership in the home decor industry.&hellip;
      
        Skills: SQL, Machine learning, PostgreSQL, Django, A/B testing",27d
Data Scientist II,Intact,Canada,#N/A,"Degree in a relevant discipline (computer science, AI, mathematics, engineering, operations research, statistics, geomatics or related field), or an equivalent…&hellip;
      
        Skills: Bilingual, French, Statistics, Data mining, English",30d+
Data scientist,BondR,Toronto,CA$100K - CA$163K (Glassdoor est.),"Proficiency in data manipulation and analysis libraries such as pandas and NumPy. Strong analytical and problem-solving skills with the ability to work with…&hellip;
      
        Skills: Computer science, Azure, R, SQL, AWS",30d+
Senior Data Scientist,CGI,Victoria,CA$85K - CA$160K (Employer provided),"This role is ideal for a data scientist who enjoys balancing exploratory analysis, model development, and clear communication of findings to technical and non‑…&hellip;
      
        Skills: TensorFlow, Statistics, Azure, SQL, Analysis skills",30d+
Product Data Scientist,GPTZero,Canada,CA$120K - CA$185K (Employer provided),"Ruslan Salakhutdinov (former director of AI at Apple, and current VP of Research for LLama, who meets monthly with our team to advise on AI model development).&hellip;
      
        Skills: Research, SQL, AWS, APIs, Python",30d+
data scientist,Goldfaith Investment Inc.,"Woodbridge, CA",$46.50 - $47.50 Per Hour (Employer provided),"Design methods of collecting and processing data to answer specific research questions. Highlight key data sources and the methodology to be used on a specific…&hellip;
      
        Skills: Mandarin, Microsoft Excel, SAS, R, English",30d+
Data Engineer / Scientist,Finaptive,Toronto,CA$96K - CA$135K (Glassdoor est.),Transform raw data into actionable insights that power strategic decisions and create competitive advantages. Whether you’re brainstorming new ideas or solving…&hellip;,11d
Data Scientist,Giatec Scientific,Ottawa,CA$110K - CA$150K (Employer provided),"As the Data Scientist, you will work closely with various domains within research & development (R&D), product development, as well as with other cross-…&hellip;
      
        Skills: TensorFlow, Statistics, Azure, Data analysis skills, MongoDB",30d+
Data Scientist II,Groupe Dynamite,Mont-Royal,CA$105K - CA$110K (Glassdoor est.),"A degree in Computer Science, Computer Engineering, or a related field; Experience in Data Science and Data Analytics, including statistical analysis,…&hellip;
      
        Skills: NoSQL, Google Cloud Platform, Databases, AWS, Analysis skills",30d+
