Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Lead Data Scientist (NLP),Ai Palette,Singapore,#N/A,"Prior experience of 3+ years in industrial data science related to NLP. Work with the millions of public data points to identify trends and gather.&hellip;
      
        Skills: Azure, Git, Google Cloud Platform, Machine learning, Natural language processing",30d+
Machine Learning Associate,BioMind,Serangoon,SGD 84K - SGD 91K (Glassdoor est.),"Computer Vision / Image Segmentation, Localisation, Classification. Deep Learning Techniques, Research Techniques, Paper Writing.&hellip;
      
        Skills: Writing skills, Deep learning",30d+
Staff Data Scientist,Airwallex,Singapore,SGD 155K - SGD 200K (Glassdoor est.),"7+ years industry experience and an advanced degree (PhD or MS) in a quantitative field (e.g. Statistics, Engineering, Sciences, Computer Science, Economics).&hellip;
      
        Skills: Investment, Data mining, R, SQL, Machine learning",30d+
Data Science Intern (Semester 2026) - P&G Management Internship Program - Bachelor's Degree or above,Procter & Gamble,Queenstown Estate,#N/A,"Leaders with strong academic results in a Bachelor's Degree or above in Computer Science, Mathematics, Economics, Statistics, Applied Science or other quant-…&hellip;
      
        Skills: CRM software, Big data, Spark, Research, Machine learning",30d+
TikTok - Data Science(Data Foundation and System) - Singapore,TikTok,Singapore,SGD 100K - SGD 138K (Glassdoor est.),"Sensitive to data, able to quickly find the relationship between data and business, has a solid understanding of the engineering logic behind data processing…&hellip;
      
        Skills: Computer science, SQL, Communication skills, Python",30d+
Machine Learning Engineer - TikTok BRIC,TikTok,Singapore,SGD 120K - SGD 180K (Glassdoor est.),"Reason and communicate in result-oriented, data-driven manner. Protect ByteDance users, including and beyond content consumers, creators, advertisers;&hellip;
      
        Skills: Spark, Machine learning, Linux, Hadoop",30d+
Machine Learning Engineer (Recommendation) - TikTok e-Commerce,TikTok,Singapore,SGD 120K - SGD 180K (Glassdoor est.),"At least 3 years of work experience in related field. Focus on building algorithms for the extraction, transformation and loading of large volumes of realtime,…&hellip;
      
        Skills: Data structures, Spark, SQL, C++, Machine learning",30d+
Machine Learning Engineer Graduate (TikTok BRIC) - 2026 Start (BS/MS),TikTok,Singapore,SGD 120K - SGD 180K (Glassdoor est.),"Final year or recent graduate with a background in computer science, statistics, or other relevant, machine-learning-heavy majors.&hellip;
      
        Skills: Computer science, Spark, Research, Machine learning, Linux",30d+
Machine Learning Engineer - Video Recommendation - Singapore,TikTok,Singapore,SGD 120K - SGD 180K (Glassdoor est.),"Software development experience through hands on coding in a general purpose programming language. Solid experience with data structures or algorithms.&hellip;
      
        Skills: Data structures, Machine learning, Deep learning, Software development, Communication skills",30d+
"Site Reliability Engineer, Applied Machine Learning Engine (Singapore)",ByteDance,Singapore,SGD 110K - SGD 150K (Glassdoor est.),"Solid background of algorithms and data structures. On the SRE team, you'll have the opportunity to sharpen your expertise in coding, performance analysis and…&hellip;
      
        Skills: Data structures, C++, C, Machine learning, Software testing",30d+
Data Scientist,Tribus It,Singapore,SGD 200K - SGD 500K (Employer provided),"Design data quality frameworks, alerts and reporting. Collaborate with researchers, traders and external data providers.&hellip;
      
        Skills: SQL, AWS, Communication skills, Python",12d
"Machine Learning Engineer, TikTok Search",TikTok,Singapore,SGD 120K - SGD 180K (Glassdoor est.),"Bachelor degree or above in the field of computer science or a related technical discipline. Combine your understanding of product objectives and take full…&hellip;
      
        Skills: Data structures, Java, C++, Machine learning, Communication skills",30d+
"Machine Learning Engineer (User Growth & Intelligent Marketing), Global e-Commerce",TikTok,Singapore,SGD 120K - SGD 180K (Glassdoor est.),"Strong foundation in algorithms and data structures, with excellent coding skills. Establish a user lifecycle data and value system to address core pain points…&hellip;
      
        Skills: Customer service, Data structures, Spark, SQL, C++",30d+
Data Scientist,SIMSYS (Singapore),Geylang Serai,SGD 83K - SGD 132K (Glassdoor est.),"Handles data wrangling, cleaning, and feature engineering to prepare data for modeling. Drives measurable business outcomes through applied machine learning and…&hellip;
      
        Skills: Machine learning, APIs",24h
Data Scientist,PayPal,Singapore,SGD 106K - SGD 120K (Glassdoor est.),"Your role involves ensuring data quality, optimizing data processes, and collaborating with cross-functional teams. Ensure data quality and integrity.&hellip;
      
        Skills: Moving, Fraud prevention and detection",30d+
"Research Scientist (Physics AI / Scientific Machine Learning) (AMS), IHPC","Agency for Science, Technology and Research",Singapore,#N/A,The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These…&hellip;,20d
Data Scientist,Publicis Groupe,Singapore,#N/A,"Work closely with product, strategy and engineering to embed data intelligence into campaign delivery, personalisation and performance measurement while setting…&hellip;
      
        Skills: SQL, APIs, AI, Python, Marketing",30d+
"Staff Data Scientist, GTM Analytics",Airwallex,Singapore,SGD 155K - SGD 200K (Glassdoor est.),"7+ years of industry experience and an advanced degree (MS or PhD) in a quantitative field (e.g., Statistics, Computer Science, Engineering, Economics, or a…&hellip;
      
        Skills: CRM software, R, SQL, Analysis skills, Forecasting",30d+
"Staff Data Scientist, Growth Analytics",Airwallex,Singapore,SGD 155K - SGD 200K (Glassdoor est.),"7+ years industry experience and a degree in a quantitative field (e.g. Statistics, Engineering, Sciences, Computer Science, Economics).&hellip;
      
        Skills: R, SQL, Data analytics, Financial services, Communication skills",30d+
Junior Data Scientist,BNP Paribas,Singapore,SGD 84K - SGD 144K (Glassdoor est.),"Strong understanding of artificial intelligence and data science concepts, including natural language processing and machine learning.&hellip;
      
        Skills: Data analysis skills, Research, Information security, SQL, Analysis skills",24h
Data Scientist- #AIDA,Singtel,Singapore,#N/A,"Bachelor or Postgraduate degree in computer science, mathematics, statistics, or a related field, with at least 1 years of relevant working experience.&hellip;
      
        Skills: Power BI, Spark, Data analysis skills, SQL, Machine learning",30d+
"Data Scientist, APAC",Zurich Insurance,Singapore,SGD 109K - SGD 120K (Glassdoor est.),"Minimum 2 years’ hands-on experience in unstructured data, including natural language processing, images recognition, OCR, voice to text etc.&hellip;
      
        Skills: Azure, Machine learning, Natural language processing, APIs, Financial services",30d+
Data Scientist,Silent Eight,Singapore,SGD 120K (Glassdoor est.),"We're building AI-native tools that harness the power of large language models (LLMs) to help customers solve high-impact, real-world problems in financial…&hellip;
      
        Skills: Spark, Git, SQL, Analysis skills, Docker",2d
