Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Data Scientist,Mayden,"Bath, England",£45K (Employer provided),"Exposure to working with clients and customers, validating project and product specifications to meet the needs of a wide range of stakeholders.&hellip;
      
        Skills: Power BI, R, Data analysis skills, Git, Tableau",30d+
Data Scientist,Almedia,"London, England",£90K - £220K (Employer provided),"Strong experience building and deploying machine learning models in a product-driven environment, ideally in Gaming, AdTech, gambling or user-incentive systems.&hellip;
      
        Skills: Google Cloud Platform, SQL, Machine learning, Terraform, Leadership",30d+
Data Scientist,bp,"London, England",£50K - £70K (Glassdoor est.),"Collaborate with data scientists, product managers, and other engineers to ensure end-to-end delivery and reliability of AI products.&hellip;
      
        Skills: Cloud infrastructure, Azure, DevOps, Google Cloud Platform, Java",25d
Data Scientist,Data Idols,"London, England",£85K - £95K (Employer provided),"Reporting directly into the CTO, this Lead Data Scientist will play a critical role in shaping the company’s core product and driving real commercial impact…&hellip;
      
        Skills: Data analysis skills, Machine learning, Data science, Python",21d
Research Scientist (Data Science),Quadram Institute,"Norwich, England",£38K - £43K (Employer provided),"The ideal applicant holds a PhD (or equivalent) in biology, bioinformatics, computer science or a related discipline, being experienced in bioinformatics, (meta…&hellip;
      
        Skills: Microbiology, Machine learning, AI",24h
Data Scientist,EveryMatrix,"London, England",£49K - £96K (Glassdoor est.),"Willingness to take ownership of analytics projects and be the engine driving them from ideation phase till bringing out the product to customers, and beyond.&hellip;
      
        Skills: TensorFlow, R, Data analysis skills, SQL, Statistical analysis",13d
Data Scientist,RLDatix,Remote,#N/A,"3–5+ years of experience in applied data science or machine learning engineering roles, including hands-on experience deploying and maintaining models in…&hellip;
      
        Skills: TensorFlow, Azure, Google Cloud Platform, SQL, AWS",30d+
Junior Data Analyst / Scientist,Union Advertising,"Edinburgh, Scotland",£36K - £52K (Glassdoor est.),"Work closely with strategy and planning, insight, digital marketing and account teams to understand requirements and deliver insights that inform strategy.&hellip;
      
        Skills: Power BI, Microsoft Excel, SAS, Microsoft Office, Tableau",17d
Data Scientist,Sparkbox.ai,"London, England",£40K - £60K (Employer provided),"This role would suit a candidate with machine learning knowledge, and an interest in developing their skills while applying data science techniques within a…&hellip;
      
        Skills: Google Cloud Platform, SQL, Machine learning, Data science, Communication skills",20d
Data Scientist,NTT DATA,"London, England",#N/A,"Industry experience in sectors such as retail, finance, healthcare, or similar (customisable). At least 5 years’ experience in client‑facing data science roles…&hellip;
      
        Skills: TensorFlow, Power BI, Cloud infrastructure, Azure, Spark",30d+
Data Scientist,SuperAwesome,"London, England",£56K - £85K (Glassdoor est.),"Experience building models for internal or business facing products. Work with the product team, end users and engineers to identify and understand the problems…&hellip;
      
        Skills: Jira, SQL, AWS, Maths, GitHub",27d
Data Scientist,Trainline,"London, England",£72K - £130K (Glassdoor est.),"Our autonomous model creates a huge opportunity for personal influence and impact – as the data scientist on the team you will be actively driving innovation on…&hellip;
      
        Skills: Microsoft Powerpoint, Power BI, R, Tableau, SQL",30d+
"Data Scientist, Integrity Measurement",OpenAI,"London, England",£293K - £385K (Employer provided),"Develop automation to scale yourself, leveraging our agentic products. For unincorporated Los Angeles County workers: we reasonably believe that criminal…&hellip;
      
        Skills: R, SQL, AI, Python",30d+
Data Scientist,GCHQ,"Cheltenham, England",£38K (Employer provided),"No matter what you do, you’ll always be generous with your knowledge, sharing valuable information, tools, and techniques that nurture the understanding of…&hellip;
      
        Skills: Machine learning, Data science, AI",7d
Data Scientist,V.Group,"Glasgow, Scotland",£34K - £43K (Glassdoor est.),"3 - 5 years’ of experience manipulating data sets and building statistical models. Knowledge of a variety of machine learning techniques (clustering, decision…&hellip;
      
        Skills: Microsoft Powerpoint, Power BI, Microsoft Excel, Data mining, Supply chain",30d+
Applied Scientist I,Entrust,"London, England",£100K - £120K (Glassdoor est.),"Work with product and engineering to improve our world-class identity-focused products. By assessing government- issued identity documents and facial biometrics…&hellip;
      
        Skills: AWS, Machine learning, Python",30d+
Data Scientist,Vitality,"Bournemouth, England",£46K - £54K (Glassdoor est.),"Experience (2-5 years) working as an associate/graduate data scientist or data scientist. Working Pattern - Hybrid – 2 days per week in the Vitality London…&hellip;
      
        Skills: Microsoft Office, SQL, Machine learning, GitHub, Regression analysis",28d
Data Scientist,OnBuy.com,"Bournemouth, England",£65K - £70K (Employer provided),"Over 2 years data science experience ideally within an e-commerce, digital, or consumer business. Develop and deploy data science models to support key e-…&hellip;
      
        Skills: Git, SQL, Machine learning, Data science, Data visualisation",26d
Principal Data Scientist,NHS Counter Fraud Authority,"Newcastle upon Tyne, England",£67K - £77K (Employer provided),"We have offices in Coventry, Newcastle and London and offer flexible, hybrid, and home-based working. To comply with the HM Government Functional Standard GovS…&hellip;
      
        Skills: Machine learning, Data science, Leadership",6d
Data Scientist,Tails.com,"Richmond, London, England",£42K - £50K (Glassdoor est.),"You will take ownership of our existing order and revenue forecasting capabilities, with the aim of ensuring we are operating as efficiently as possible in…&hellip;
      
        Skills: Tableau, SQL, AWS, IT, Data science",4d
Data Scientist,Ecotricity,"Stroud, England",£55K - £65K (Employer provided),"You will collaborate closely with project managers, product owners, and stakeholders, effectively communicating progress, presenting solutions, and delivering…&hellip;
      
        Skills: Machine learning, AI",30d+
Junior Data Scientist - AI Practice Team,American Bureau of Shipping (ABS),"Warrington, North West England, England",£31K - £39K (Glassdoor est.),"Must hold a valid right to work status in the UK. Help maintain clean, reproducible project assets (code, notebooks, datasets, documentation) using modern…&hellip;
      
        Skills: Power BI, Azure, Git, Google Cloud Platform, Tableau",30d+
Data Scientist,Zapp,"London, England",£49K - £53K (Glassdoor est.),"Collaboration: Work closely with cross-functional teams to define, design, and implement new features, driving both business and technical excellence.&hellip;
      
        Skills: Azure, Software deployment, Git, Google Cloud Platform, SQL",30d+
Computational Biologist / Bioinformatics Data Scientist,Antiverse,"Cardiff, Wales",£28K - £40K (Glassdoor est.),"Allowances for equipment both for home and office. Given the importance of working closely with both our lab team and computational team, we're looking for…&hellip;
      
        Skills: R, Machine learning, Data visualisation, Python",30d+
Climate Data Scientist,Institutional Shareholder Services,"London, England",£50K - £70K (Glassdoor est.),"Support the development of climate risk assessment products through work with large, complex data sets, solving non-routine analysis problems, and applying…&hellip;
      
        Skills: French, English, Statistical analysis, Analysis skills, Docker",26d
Staff Data Scientist - Fraud,Wise Investments,"London, England",£115K - £150K (Employer provided),"Build a globally scalable fraud prevention and detection engine to maintain Wise as a secure environment for our legitimate customers.&hellip;
      
        Skills: Machine learning",30d+
Distinguished ML Data Scientist,AVEVA,"Cambridge, East of England, England",£29K - £36K (Glassdoor est.),"Background checks will be conducted in accordance with local laws and may, subject to those laws, include proof of educational attainment, employment history…&hellip;
      
        Skills: Azure, Software deployment, R, Google Cloud Platform, SQL",30d+
Staff Data Scientist,Marshmallow,"London, England",£66K - £85K (Glassdoor est.),"Plus 2 days a year - on us! - to further your skillset. You think in systems: you can connect the dots between data science, engineering, and product to shape…&hellip;
      
        Skills: Software deployment, Statistical analysis, Machine learning, Data science, AI",19d
Data Scientist,QS Quacquarelli Symonds Limited,"London, England",£60K - £102K (Glassdoor est.),"Proven experience in applied machine learning or data science. You’ll collaborate closely with senior data scientists, engineers, and product teams, using QS’s…&hellip;
      
        Skills: TensorFlow, Git, SQL, AWS, Analysis skills",30d+
Data Scientist,Cint,United Kingdom,#N/A,"2 years of experience in a data science and analytics capacity, preferably in market research, or advertising analytics. Bonus points if you have.&hellip;
      
        Skills: Big data, Spark, SQL, Analysis skills, Machine learning",3d
