Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Data Scientist,WINTrio,Remote,#N/A,"Takes research methodology and translates the methodology into programming procedures to examine differences, trends, and findings to be applied to special cost…&hellip;
      
        Skills: Statistics, SAS, R, Process improvement, SQL",30d+
"Language Data Scientist, Alexa AI",Amazon,"Seattle, WA",$136K - $184K (Employer provided),"3+ years of machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance experience.&hellip;
      
        Skills: Statistics, MATLAB, SAS, Qualitative research, R",18d
"Data Scientist, WWPS ProServe Data and Machine Learning",Amazon Web Services,"Jessup, MD",$136K - $184K (Employer provided),"Working closely with stakeholders, you'll assess current data infrastructure, develop proof-of-concepts, and propose effective strategies for implementing AI…&hellip;
      
        Skills: CI/CD, MATLAB, SAS, Software deployment, R",30d+
"Data Scientist I, SHAKE",Amazon,"Seattle, WA",$108K - $160K (Employer provided),"You will work on our Science team and partner closely with applied scientists, data engineers as well as product managers, UX designers, and business partners…&hellip;
      
        Skills: Statistics, MATLAB, Data mining, Business intelligence, SAS",27d
Lead Data Scientist,State Farm,"Bloomington, IL",$107K - $142K (Employer provided),"Completed master’s or other advanced degree in an analytical field such as statistics, mathematics, economics, data science, quantitative marketing, operations…&hellip;
      
        Skills: SAS, Computer vision, R, AWS, Team management",18d
Data Scientist,Deloitte,"Arlington, VA",$101K - $143K (Glassdoor est.),"Design, wireframe, and develop dashboards and data visualizations that clearly communicate insights to non-technical audiences.&hellip;
      
        Skills: Statistics, Tableau, Databases, Wireframing, Predictive analytics",12d
AI and Machine Learning,Tata Consultancy Services,"Westfield, NJ",$100K - $150K (Employer provided),"Mentoring and technical leadership capabilities.  Experience with Agentic AI architectures and end to end AI solution design.&hellip;
      
        Skills: Azure, Deep learning, Mentoring, Natural language processing, Scalability",3d
Data Science Engineer,Tata Consultancy Services,"Durham, NC",$90K - $110K (Employer provided),"Experience with prompt engineering and few-shot learning techniques. Ability to optimize models for performance, scalability, and low-latency inference.&hellip;
      
        Skills: TensorFlow, Natural language processing, Scalability, Data science, AI",5d
Data Scientist,Tata Consultancy Services,"San Antonio, TX",$100K - $140K (Employer provided),"Data Visualization and Reporting: Using tools (e.g., Tableau, Power BI) to create reports and charts that communicate technical findings to non-technical…&hellip;
      
        Skills: TensorFlow, Statistics, Power BI, R, Data analysis skills",30d+
Data Scientist,Tata Consultancy Services,"Louisville, KY",$110K - $140K (Employer provided),"3+ years in decision analytics, data science, or quantitative analysis. Decision quality analysis, fairness/bias/equity monitoring, experiment measurement,…&hellip;
      
        Skills: Statistics, SQL, Statistical analysis, Analysis skills, Data science",27d
Lead Data Scientist,Humana,United States,$142K - $196K (Employer provided),"Manage the execution of data science strategies and initiatives, including the design, development and implementation. Use your skills to make an impact.&hellip;
      
        Skills: TensorFlow, Data mining, Computer vision, DevOps, System design",30d+
Senior Data Scientist,Humana,United States,$118K - $162K (Employer provided),"Associates who live and work from Home in the state of California, Illinois, Montana, or South Dakota will be provided a bi-weekly payment for their internet…&hellip;
      
        Skills: TensorFlow, Data mining, Computer vision, DevOps, Data analysis skills",30d+
Machine Learning - Data Scientist,Apple,"Boulder, CO",$132K - $245K (Employer provided),"Strong documentation skills, including the ability to write technical reports and present to non-technical audiences.&hellip;
      
        Skills: TensorFlow, Statistics, Computer vision, Statistical analysis, Analysis skills",4d
