Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Deep Learning Engineer for Game Technology,PlayStation,"London, England",£47K - £72K (Glassdoor est.),"You will be part of a small creative team within ATG, tackling problems centred around computer vision and machine learning. 25 days holiday per year.&hellip;
      
        Skills: Maths, Machine learning, Deep learning, Software development, Debugging",21d
"Research Engineer, Machine Learning (Reinforcement Learning)",Anthropic,"London, England",£260K - £630K (Employer provided),"For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses…&hellip;
      
        Skills: TensorFlow, Rust (programming language), Kubernetes, System design, C++",30d+
Machine Learning Engineer Intern (100% Remote Worldwide),Tether.to,"London, England",#N/A,"Experience in deep learning techniques such as supervised, semi-supervised, self-supervised learning, and/or generative modeling.&hellip;
      
        Skills: English, Analysis skills, Project management, Machine learning, Deep learning",14d
Senior Deep Learning Research Engineer,Greyparrot,"London, England",£56K - £130K (Glassdoor est.),"Experience with active learning, semi-supervised learning, learning from noisy labels, model robustness (at least two).&hellip;
      
        Skills: Deep learning, Python",30d+
Senior Machine Learning Engineer,WLT Group,Remote,FCFA 80K (Employer provided),"Lead the design and implementation of scalable ML models and data pipelines to support AI-powered products in regulated domains.&hellip;
      
        Skills: TensorFlow, Spark, AWS, Docker, Machine learning",30d+
"Principal Machine Learning Engineer 2026 - US, UK",Aimpoint Digital,Remote,#N/A,"Experience with managing stakeholders and collaborating with customers. You will work with all levels of the client organization to build value driving…&hellip;
      
        Skills: TensorFlow, Azure, Kubernetes, Software deployment, DevOps",29d
AI Research Engineer - Pre training (100% Remote),Tether.to,"London, England",£48K - £123K (Glassdoor est.),"You will have a deep expertise in LLM architectures, a strong grasp of pre-training optimization with a hands-on, research-driven approach.&hellip;
      
        Skills: Software deployment, English, Machine learning, Natural language processing, Scalability",30d+
Senior Machine Learning Engineer (Spain),Remotestar,Remote,#N/A,"Their main products, Singularity and CompactifAI, address critical needs across various industries. 4+ years of experience in data science, machine learning, or…&hellip;
      
        Skills: Git, Machine learning, Distributed systems, Natural language processing, Software development",30d+
"Research Engineer, Pretraining",Anthropic,"London, England",£260K - £630K (Employer provided),"For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses…&hellip;
      
        Skills: Kubernetes, Machine learning, Deep learning, Communication skills, Python",30d+
Applied AI Engineer,Anthropic,"London, England",£225K - £240K (Employer provided),"For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses…&hellip;
      
        Skills: Software deployment, AI, Communication skills, Python",30d+
Lead R&D Technologist - GenAI,ZS Associates,"London, England",£29K - £57K (Glassdoor est.),"You are expected to combine deep domain expertise with GenAI solution design, acting as a trusted advisor to clients and owning end-to-end business analysis,…&hellip;
      
        Skills: Clinical research, Business analysis, English, Analysis skills, Agile",30d+
Senior Machine Learning Engineer,Brahma,Remote,#N/A,"This role is hands-on and technical, requiring experience in training and deploying deep learning models, a solid engineering mindset, and the ability to work…&hellip;
      
        Skills: TensorFlow, Google Cloud Platform, AWS, Machine learning, Deep learning",30d+
Learning Engineer,Faculty.ai,"London, England",£48K - £55K (Glassdoor est.),"You have a portfolio of digital learning experiences and understand the constraints and opportunities of building software products (e.g., LMS, Apps, EdTech…&hellip;",30d+
Machine Learning Engineer,Faculty.ai,"London, England",£75K - £95K (Glassdoor est.),"Acting as a technical advisor to customers and partners, translating complex ML concepts for stakeholders. Defining and implementing Faculty’s standards for…&hellip;
      
        Skills: TensorFlow, Cloud infrastructure, Azure, Kubernetes, Google Cloud Platform",25d
Endpoint Engineer,Worthington Enterprises,"London, England",£133K - £194K (Employer provided),"Parents spend hours waiting in line to pay school fees in cash. Familiarity with compliance frameworks such as SOC 2, ISO 27001 and NIST.&hellip;
      
        Skills: French, Azure, Salt, Ansible, iOS",30d+
Research Engineer Intern (Multimodal LLM),Tether.to,"Edinburgh, Scotland",#N/A,"In this role, you’ll have the opportunity to advance the development of open-source LLM, vision and/or multimodal foundation models and products.&hellip;
      
        Skills: Node.js, English, Deep learning, AI, Communication skills",30d+
"Senior Machine Learning Engineer, NLP",BenchSci,"London, England",£80K - £130K (Employer provided),"A one-time home office set-up budget to use upon joining BenchSci. A degree in computer science with a focus in machine learning and at least three years of…&hellip;
      
        Skills: TensorFlow, Image processing, Machine learning, Natural language processing, Software development",30d+
Machine Learning Engineering Intern,Snap,"London, England",#N/A,"Coursework or hands-on project experience in machine learning or deep learning. Work on a technical project that aligns with Spectacles product and research…&hellip;
      
        Skills: TensorFlow, Machine learning, Deep learning, Linux, Python",12d
Machine Learning Researcher,Wintermute,"London, England",£102K - £144K (Glassdoor est.),"Although we are unable to accept fully remote candidates, we support significant flexibility about working from home and working hours.&hellip;
      
        Skills: C++, Machine learning, Python",30d+
Solution Architects,Manchester Airports Group,"Manchester, England",£54K - £67K (Glassdoor est.),"Passenger & colleague journeys - payroll (SAP), security operations, rostering, workforce tools. Major transformation programmes modernising some critical…&hellip;",30d+
Senior Machine Learning Engineer,Deliveroo,"London, England",£89K - £118K (Glassdoor est.),"New Verticals – developing recommendation and catalogue-quality models that help customers discover the right grocery and retail items while supporting growth…&hellip;
      
        Skills: Customer service, Machine learning",5d
Quality SDET Cypress Javascript Engineer (Hands on) - Vice President,Citi,"London, England",£75K - £95K (Glassdoor est.),"Develop test scripts and/or test frameworks using JavaScript or Java to execute RESTful API calls and SQL queries for test data setup/teardown and results…&hellip;
      
        Skills: Jira, Cucumber (software testing tool), Test automation, Selenium, Java",30d+
Principal Machine Learning Engineer,Faculty.ai,"London, England",£75K - £95K (Glassdoor est.),"You excel at communicating complex technical concepts to both peers and customers, earning trust through expertise and clear architectural leadership.&hellip;
      
        Skills: Machine learning, Leadership",30d+
Machine Learning Engineer,Elanco,"Hook, South East England, England",£40K - £49K (Glassdoor est.),"This role is focused on the practical application of machine learning, requiring a strong blend of software engineering discipline and deep ML expertise to…&hellip;
      
        Skills: TensorFlow, Azure, Kubernetes, Software deployment, Git",30d+
Mainframe Consultant / Architect / Engineer,Kyndryl,"London, England",£53K - £83K (Glassdoor est.),"Act as a trusted advisor and technical leader, guiding projects from inception to completion, defining success, and ensuring solutions meet the highest…&hellip;
      
        Skills: SAFe, System administration, Azure, Kanban, DB2",30d+
Machine Learning Workflow Engineer,G-Research,"London, England",£150K - £180K (Glassdoor est.),"Lunch provided (via Just Eat for Business) and dedicated barista bar. Implementing best practice feature and model stores.&hellip;
      
        Skills: Machine learning",30d+
Senior Machine Learning Engineer - Personalisation,Deliveroo,"London, England",£88K - £118K (Glassdoor est.),"Partner with engineering and product leaders to help shape the product roadmap leveraging ML. Provide technical leadership across multiple product areas,…&hellip;
      
        Skills: TensorFlow, Machine learning, Natural language processing, Communication skills, Python",5d
Machine Learning Engineer,Almedia,"London, England",£90K - £220K (Employer provided),"Partner with product and engineering teams to translate business challenges into predictive, data-driven solutions.&hellip;
      
        Skills: Statistics, SQL, Machine learning, Communication skills, Python",30d+
Machine Learning Engineer,Huron Consulting Group,"Belfast, Northern Ireland",£38K - £56K (Glassdoor est.),"The models you build will inform real decisions—production schedules, pricing strategies, risk assessments, capital allocation.&hellip;
      
        Skills: TensorFlow, Azure, Financial modeling, Application development, SQL",30d+
Implementation Specialist,Heidi,"London, England",£30K - £49K (Glassdoor est.),"Deliver smooth onboarding and implementation of Heidi across mid-market and enterprise customers. We’re looking for a proactive, collaborative Implementation…&hellip;
      
        Skills: AI",30d+
