Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Research Engineer,Higharc,Remote,#N/A,"Design end-to-end LLM training and fine-tuning pipelines tailored to construction domains, developing domain-specific pre-training and SFT datasets from…&hellip;
      
        Skills: Computer science, Computer vision, Databases, Revit, Geometry",15d
"Experienced Machine Learning Engineer (Speech Recognition, LLM Fine-tuning) – Remote",Noble Cortex,Remote,#N/A,"Collaborative Problem-Solving: Work with cross-functional teams to integrate AI models into production environments and ensure real-world effectiveness.&hellip;
      
        Skills: Performance tuning, Scalability, AI",30d+
Deep Learning Engineer,Dyneti,"San Mateo, CA",$126K - $177K (Glassdoor est.),"Has 2+ years experience with deep learning or has a PhD in a STEM field. Python expertise strongly preferred - however, candidates with deep learning experience…&hellip;
      
        Skills: TensorFlow, Deep learning, Python",30d+
Machine Learning Engineer,AllCloud,Remote,#N/A,"We seek a candidate with 3+ years of experience in a Data Scientist/Machine Learning Engineer role who has attained a Bachelor's (Graduate preferred) degree in…&hellip;
      
        Skills: Elasticsearch, Cassandra, Internet of Things, Data structures, Spark",24h
"Machine Learning Engineer, Alexa AI",Amazon,"Boston, MA",$144K - $194K (Employer provided),"Will work with other team engineers to investigate design approaches, prototype new technology and evaluate technical feasibility.&hellip;
      
        Skills: Computer science, Scalability, AI, Communication skills, Software architecture",13d
"Machine Learning Compiler Engineer, Annapurna Labs",Amazon Web Services,"Cupertino, CA",$129K - $224K (Employer provided),"Strong knowledge in one or more of the areas of: compiler design, instruction scheduling, memory allocation, data transfer optimization, graph partitioning,…&hellip;
      
        Skills: TensorFlow, Computer science, FPGA, C++, Algorithm design",30d+
AI Engineer,Tata Consultancy Services,"Chicago, IL",$100K - $120K (Employer provided),"Design, develop, and deploy AI/ML and Generative AI solutions including LLM based applications, RAG pipelines, agents, and predictive models.&hellip;
      
        Skills: Performance tuning, Azure, NoSQL, Google Cloud Platform, Java",12d
AI Engineer,Tata Consultancy Services,"Des Moines, IA",$85K - $105K (Employer provided),"Looking for an experienced AI Engineer (6–8 years) to design, develop, and deploy cutting-edge AI/ML solutions. MLOps: MLflow, Kubernetes, Docker, Git.&hellip;
      
        Skills: TensorFlow, Azure, Software deployment, Spark, Git",30d+
Engineer Generative AI,Tata Consultancy Services,"Weehawken, NJ",$130K - $150K (Employer provided),"Knowledge of and experience in Tools: Familiarity with cloud platforms (AWS SageMaker, Azure ML) and MLOps tools (MLFlow).&hellip;
      
        Skills: Computer science, Data modeling, Azure, Computer vision, Software deployment",30d+
Data Science Engineer,Tata Consultancy Services,"Mason, OH",$95K - $135K (Employer provided),"We are seeking a highly skilled Data Science Engineer to design and develop scalable ML and Generative AI solutions. Primarily a BI / reporting analyst.&hellip;
      
        Skills: System design, MongoDB, Application development, Scalability, AI",30d+
Simulation Engineer,Tata Consultancy Services,"Warren, MI",$130K - $170K (Employer provided),"Proficiency in NVIDIA Isaac Sim, Omniverse, and synthetic data generation tools. The engineer will work closely with AI researchers and robotics engineers to…&hellip;
      
        Skills: TensorFlow, Computer vision, C++, Unity, Robotics",30d+
Applied Machine Learning Research Engineer - Multimodal for Human Understanding,Apple,"Sunnyvale, CA",$147K - $272K (Employer provided),"By staying at the forefront of advancements in AI, machine learning, and computer vision, you will play a direct role in driving innovation, influencing the…&hellip;
      
        Skills: Computer vision, C++, Software development, Swift, AI",5d
"Machine Learning Engineer, Photos",Apple,"Cupertino, CA",$127K - $221K (Employer provided),"Bachelor's or Master's in Computer Science, Electrical Engineering, Applied Mathematics, or a related field. Candidates should have a proven track record that…&hellip;
      
        Skills: C, Embedded software, Swift, AI, Python",5d
Multimodal LLMs Research Engineer,Apple,"Sunnyvale, CA",$147K - $272K (Employer provided),"Our centralized applied research and engineering group is dedicated to developing cutting-edge Computer Vision and Machine Perception technologies across Apple…&hellip;
      
        Skills: Computer vision, AI, Research & development, Leadership",5d
ML Safety Research Engineer,Apple,"San Francisco, CA",$181K - $272K (Employer provided),"This role blends deep technical expertise with strong analytical judgment to develop tools and capabilities for assessing and improving the behavior of advanced…&hellip;
      
        Skills: Computer science, Taxonomy, Analysis skills, Requirements analysis, Experimental design",5d
Machine Learning Engineer - Recommendations & Personalization (Feature Engineering),Apple,"Seattle, WA",$172K - $302K (Employer provided),"BS, MS or PhD in Computer Science, Machine Learning, or a related technical field. This is a hands-on, high-impact engineering role that bridges robust system…&hellip;
      
        Skills: Rust (programming language), Go, Spark, System design, Java",5d
"AI/ML - Machine Learning Research Engineer, Machine Translation",Apple,"San Francisco, CA",$140K - $210K (Employer provided),"We are seeking research scientists and engineers with a passion for applied research in the field of Multilingual Large Language Models and Machine Translation.&hellip;
      
        Skills: TensorFlow, Multilingual, Writing skills, Java, C",5d
Machine Learning Engineer,Apple,"Sunnyvale, CA",$147K - $272K (Employer provided),"You will perform applied research development to adapt state-of-the-art methods or implement new methods to ship features on iOS and VisionOS platforms.&hellip;
      
        Skills: Computer vision, iOS, Software development, Data collection, Research & development",5d
Industrial Machine Learning Engineer,Apple,"Cupertino, CA",$212K - $318K (Employer provided),"MS in related engineering field. BS in a related engineering field. Experience with image processing and using ML tools to identify patterns in images,…&hellip;
      
        Skills: Image processing, Data mining, Cassandra, Vendor management, Computer vision",5d
AI Application Engineer,Apple,"Cupertino, CA",$172K - $302K (Employer provided),"Deploy and support AI tools for hardware engineering teams. In this role, you'll work at the intersection of applied AI and software engineering-translating…&hellip;
      
        Skills: TensorFlow, Java, Scalability, AI",5d
Camera Machine Learning Engineer - Camera Hardware,Apple,"San Francisco, CA",$147K - $272K (Employer provided),"You will bring your expertise to the team and be responsible for ongoing design, evaluation, benchmarking and characterization of Apple camera products."",""…&hellip;
      
        Skills: Image processing, Computer vision, Data analysis skills, Optics, Data collection",5d
