Job Title,Company,Location,Salary Estimate,Job Description,Job Age
ML Software Engineer,Woolworths Group,Bella Vista,A$135K (Glassdoor est.),"Work collaboratively with Data Scientists, ML Engineers & Data Engineers to develop cutting edge retail tools in an agile manner.&hellip;
      
        Skills: Data modelling, DevOps, Google Cloud Platform, Tableau, SQL",30d+
AI Engineer,Tata Consultancy Services,Sydney,A$96K - A$162K (Glassdoor est.),"AI/ML Frameworks: LangChain, PyTorch. Gen AI Models: LLMs (GPT, Claude), RAG patterns, prompt engineering. Security & Responsible AI: Compliance and governance.&hellip;
      
        Skills: CI/CD, AWS, REST, S3, AI",30d+
Unified Communications (UC) Engineer - TS/SCI with Polygraph,General Dynamics Information Technology,Alice Springs,A$143K - A$181K (Employer provided),"The engineer will provide support to multiple globally dispersed WAN connected sites. Identifies and resolves technical problems related to the installation,…&hellip;
      
        Skills: Jira, Management, AWS, VoIP, WAN",30d+
Assistant Vice President - ML / AI Engineer,Genpact,Sydney,A$58K - A$81K (Glassdoor est.),"In this role, The ML / AI Engineer will Provide technical credibility and execution confidence during sales and early delivery, ensuring AI solutions can be…&hellip;
      
        Skills: Management, AI",30d+
"Software Engineer Intern, 2026 Summer Australia",Atlassian,Sydney,A$152K - A$199K (Glassdoor est.),"Current full-time enrolment in a Bachelors or Masters program in Software Engineering, Computer Science or other related technical program and returning to the…&hellip;
      
        Skills: Jira, Data structures, Trello, Systems design, OOP",30d+
SENIOR ML & ROBOTICS ENGINEER,Greenroom Robotics,Sydney,#N/A,"Design, implement, and optimize machine learning algorithms for robotics applications. Ability to implement and optimize real-time perception systems.&hellip;
      
        Skills: Computer vision, Docker, Machine learning, Agile, Data collection",30d+
Senior Software Engineer - TS/SCI with Polygraph,General Dynamics Information Technology,Alice Springs,A$140K - A$190K (Employer provided),"Certification: Candidate must possess an appropriate and current DoD 8570/8140 Information Assurance Technical (IAT) Certification to be considered for…&hellip;
      
        Skills: SDLC",30d+
Machine Learning Engineer,Micromine,Brisbane,A$82K - A$144K (Glassdoor est.),"Proficiency in Python and familiarity with related ML libraries (NumPy, Pandas, Scikit-learn, etc.). Bachelor's or higher degree in Computer Science, AI, or a…&hellip;
      
        Skills: Computer vision, Machine learning, Deep learning, AI",7d
Machine Learning Engineer / Data Scientist,The Argyle Network,Sydney,A$150K (Employer provided),"Lead the ML journey – own end-to-end projects from concept through to production deployment and monitoring. Engineer solid foundations – design scalable data…&hellip;
      
        Skills: SQL, AWS, Terrafrom, S3, Redshift",30d+
Solution Designer AI,Tata Consultancy Services,Sydney,A$96K - A$162K (Glassdoor est.),"Collaboration across technical and non-technical teams. Description: This role would report to me but closely work with the AI architect.&hellip;
      
        Skills: AI",28d
Senior Software Engineer - Australia,Neara,Australia,#N/A,"Please note that you will require current and unrestricted working rights to be considered for the role. Work on our internal expression language and work with…&hellip;
      
        Skills: CAD",6d
AI Researcher,Maincode,Melbourne,A$71K - A$180K (Glassdoor est.),"We care about depth of reasoning, experimental discipline, and the ability to make progress under ambiguity. You will work directly with the engineers running…&hellip;
      
        Skills: Deployment, Research, APIs, AI",30d+
Senior Machine Learning Engineer,Axsys IT,Sydney,A$77K - A$206K (Glassdoor est.),"Set up your home office with a little financial help from us, and take advantage of great corporate discounts and vouchers from top retailers.&hellip;
      
        Skills: CI/CD, AWS, Docker, Machine learning, Forecasting",30d+
