Job Title,Company,Location,Salary Estimate,Job Description,Job Age
AI/Machine Learning Engineer,CleanSlate,"Carmel, IN",$63K - $106K (Glassdoor est.),"Leads the delivery of technical implementations for a specific technical domain. AWS or Azure ML experience and/or certification.&hellip;
      
        Skills: Azure, Spark, Research, Scala, Requirements analysis",30d+
ML Engineer,Keystone Cooperative,"Indianapolis, IN",$87K - $123K (Glassdoor est.),"Utilize Snowflake Cortex and other AI/ML development tools to design, implement, and optimize data models and algorithms. (This role is not hybrid or remote).&hellip;
      
        Skills: TensorFlow, Statistics, Data modeling, R, SQL",22d
Staff ML Engineer,Group1001,"Zionsville, IN",$87K - $153K (Glassdoor est.),"Mentor senior ML engineers and technical leads, developing the next generation of ML engineering leadership. Bachelor's degree in Computer Science, Data Science…&hellip;
      
        Skills: TensorFlow, Kubernetes, Software deployment, Terraform, Mentoring",30d+
Forward Deployed Engineer - Databricks,Deloitte,"Indianapolis, IN",$113K - $208K (Employer provided),"3+ years of experience in software engineering, data engineering, data science, or analytics engineering. Data engineering experience with Spark, Airflow/dbt,…&hellip;
      
        Skills: Azure, Software deployment, Enterprise software, Spark, Google Cloud Platform",3d
Lead GenAI Engineer,Deloitte,"Indianapolis, IN",$113K - $232K (Employer provided),"A bachelor's degree in computer science, software engineering, or a related discipline. The ideal candidate will be a dependable team player and mentor,…&hellip;
      
        Skills: SAFe, Azure, Go, Node.js, .NET Core",30d
Engineering Manager - Product Engineering A&A,Deloitte,"Indianapolis, IN",$108K - $221K (Employer provided),"The ideal candidate will be a role model and engineering mentor, advocating engineering excellence, and leading cross-functional teams to design, develop, test,…&hellip;
      
        Skills: SAFe, Azure, Go, Node.js, .NET Core",30d+
Forward Deployed Engineer - Microsoft AI&Data,Deloitte,"Indianapolis, IN",$113K - $208K (Employer provided),"3+ years of experience in software engineering, data engineering, data science, or analytics engineering. Data engineering experience with Spark, Airflow/dbt,…&hellip;
      
        Skills: Data modeling, Azure, Software deployment, Enterprise software, Spark",2d
"Data Science Manager, Life Sciences & Healthcare - SFL Scientific",Deloitte,"Indianapolis, IN",$131K - $241K (Employer provided),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical…&hellip;
      
        Skills: Azure, Computer vision, Software deployment, Data analysis skills, Google Cloud Platform",30d+
"Lead Data Scientist GenAI, Strategic Analytics - Data Science",Deloitte,"Indianapolis, IN",$103K - $189K (Employer provided),"Bachelor's or Master's degree in Computer Science, Engineering, Data Science, Mathematics, or related field. Facilitate workshops to identify, prioritize, and…&hellip;
      
        Skills: TensorFlow, Azure, Enterprise software, ERP systems, Google Cloud Platform",30d+
"Data Science Manager, GenAI - SFL Scientific",Deloitte,"Indianapolis, IN",$131K - $241K (Employer provided),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical…&hellip;
      
        Skills: Azure, Computer vision, Data analysis skills, Google Cloud Platform, Docker",30d+
