Job Title,Company,Location,Salary Estimate,Job Description,Job Age
"Founding Engineer (Full Stack, ML DevTools & Systems)",Hud Hud Travels,Singapore,#N/A,"HUD (YC W25) does RL and evaluations for frontier AI agents. Our HUD agentic RL platform is used by frontier labs, Fortune 500 companies, and startups.&hellip;
      
        Skills: Cloud infrastructure, Docker, SDKs, APIs, Linux",30d+
"ML Systems Engineer, ML Acceleration",Motional,Singapore,SGD 144K - SGD 165K (Glassdoor est.),"In this role, you will be responsible for the core systems that enable our researchers to train frontier models at scale, focusing obsessively on speed, cost,…&hellip;
      
        Skills: Machine learning, Python",30d+
Speech / Applied ML Engineer (Intern),Valsea IT,Singapore,#N/A,"Own improvements for a specific speech use case or language. Direct collaboration with founders and experienced engineers. Understanding of speech/ASR basics.&hellip;
      
        Skills: Multilingual, Python",24d
ML Evaluation & Insights Engineer - ASE,Apple,Singapore,#N/A,"Education in Data Science, Linguistics, Cognitive Science, HCI, Psychology, Social Science, or a related field. Publish internal reports and external papers.&hellip;
      
        Skills: French, Spanish, Test automation, English, Japanese",4d
AI/ML engineer,Cognizant,Singapore,SGD 83K - SGD 150K (Glassdoor est.),"Co-own problem discovery with Product/Business: translate objectives into well defined, testable problem statements, user journeys, and technical hypotheses.&hellip;
      
        Skills: Jira, Azure, DevOps, Git, AWS",7d
Sr Machine Learning Engineer — Agentic Systems,PayPal,Singapore,SGD 118K - SGD 138K (Glassdoor est.),"3+ years relevant experience and a Bachelor’s degree OR Any equivalent combination of education and experience.&hellip;
      
        Skills: Azure, Moving, Google Cloud Platform, SQL, Machine learning",30d+
Junior Analyst,Publicis Groupe,Singapore,#N/A,"At least up to 1 year experience; or recent graduate in statistics, economics, data science, computer science, or related field.&hellip;
      
        Skills: Power BI, R, Tableau, SQL, Analysis skills",30d+
"Core Engineering, Applied AI, AI/ML Quant Research Engineer, Associate, Singapore",Goldman Sachs,Singapore,SGD 84K - SGD 106K (Glassdoor est.),"For eligible employees we typically reimburse fees paid for a fitness club membership or activity (up to a pre-approved amount).&hellip;
      
        Skills: CI/CD, Research, Electrical engineering, Machine learning, Communication skills",13d
Founding GTM Engineer,Hud Hud Travels,Singapore,#N/A,"Our buyers are ML engineers, AI researchers, and engineering leaders at frontier labs and enterprises. Develop messaging that resonates with technical buyers (…&hellip;
      
        Skills: CRM software, APIs, Communication skills",30d+
Forward Deployment Engineer,Singtel,Singapore,#N/A,"Bachelor’s in Computer Science, Engineering, Data, AI/ML, or related field. Lead the design and delivery of end-to-end AI and software solutions, including…&hellip;
      
        Skills: Performance tuning, Cloud infrastructure, Azure, Node.js, XML",30d+
"R&D Engineer – Mechatronic Systems, Simulation & AI",HP Inc.,Singapore,#N/A,"Participate as a member of cross‑functional project teams, including internal engineers and outsourced development partners, to deliver reliable, cost‑effective…&hellip;
      
        Skills: CAD, Pro/ENGINEER, Analysis skills, C++, Python",15d
Senior MLOps Engineer – AWS-Focused ML Infrastructure,Keysight Technologies,Yishun New Town,#N/A,"Bachelor's or Master's degree in Computer Science, Engineering, Information Systems, or a related technical field.&hellip;
      
        Skills: CI/CD, DevOps, Spark, Test automation, English",11d
"Core Engineering, Applied AI, Senior AI/ML Quant Research Engineer, Vice President, Singapore",Goldman Sachs,Singapore,SGD 84K - SGD 106K (Glassdoor est.),"For eligible employees we typically reimburse fees paid for a fitness club membership or activity (up to a pre-approved amount).&hellip;
      
        Skills: CI/CD, Research, Electrical engineering, Machine learning, Communication skills",13d
International Field CTO,Cognition,Singapore,#N/A,"Drive pilot design, use case selection, and technical validation across pre and post-sales cycles. Support field sales in complex technical deals across key…&hellip;
      
        Skills: Computer science, Sales, DevOps, Presentation skills, Solution architecture",30d+
Senior Operations Technology Engineer,Resmed,Singapore,#N/A,"You will own the roadmap for machine‑to‑enterprise data flow, and champion how factories talk, share, and operate as one. Plus, you’ll stand out if you have:&hellip;
      
        Skills: Software troubleshooting, IT, Communication skills",30d+
Solutions Engineer / Forward Deployed Engineer (Intern),Valsea IT,Singapore,#N/A,"Strong fundamentals in Python or a similar backend language. Listen to technical challenges from the field and help the product team turn them into better…&hellip;
      
        Skills: Cloud infrastructure, Google Cloud Platform, Docker, APIs, Python",24d
"Machine Learning Engineer, Supply Chain Forecasting",ByteDance,Singapore,SGD 99K - SGD 169K (Glassdoor est.),"Our team is missioned for the research, development, and implementation of algorithms for core supply chain scenarios. Strong problem-solving skills are a must.&hellip;
      
        Skills: Machine learning, Deep learning, Forecasting, Python",30d+
Machine Learning Engineer – Feed Recommendation,AppLovin,Singapore,SGD 98K - SGD 180K (Glassdoor est.),"AppLovin makes technologies that help businesses of every size connect to their ideal customers. The company provides end-to-end software and AI solutions for…&hellip;
      
        Skills: Machine learning, Python",30d+
Algorithm & ML Staff Engineer,Thermo Fisher Scientific,Tuas,#N/A,"Master’s degree in Computer Sciences, Mathematics, Statistics, Bioinformatics or a related field; a Ph.D or equivalent experience is highly preferred.&hellip;
      
        Skills: Multilingual, NoSQL, Java, SQL, AWS",30d+
MLOps Engineer (Entry-level / Intern),BetterData Pte Ltd,Remote,#N/A,"Degree in Computer Science, Machine Learning, or related field. Suitable for recent grads, bootcamp completers or final-year semester with project experience.&hellip;
      
        Skills: Azure, DevOps, Google Cloud Platform, Docker, Machine learning",30d+
