Job Title,Company,Location,Salary Estimate,Job Description,Job Age
AI / ML Engineer,BPM,Remote,FCFA 150K - FCFA 180K (Employer provided),"Strong background in machine learning, data science, and applied AI. Familiarity with product development lifecycles and agile delivery practices.&hellip;
      
        Skills: Azure, SQL, Analysis skills, Product development, Machine learning",30d+
Junior+ ML Engineer,Mad Devs,Remote,#N/A,"Can conduct regular demos for customers and explain technical aspects and achievements in an accessible manner. Understanding of the key steps involved.&hellip;
      
        Skills: Big data, Git, English, SQL, Russian",30d+
Senior ML/AI Engineer,Red Sift,"London, England",£89K - £118K (Glassdoor est.),"Collaborate with product, backend, and frontend teams to deliver impactful AI-driven experiences. By providing comprehensive coverage of an organization’s…&hellip;
      
        Skills: Microservices, JavaScript, APIs, Cloud computing, AI",30d+
Staff Software ML Engineer,Arm,"Manchester, England",£97K - £132K (Employer provided),"You will work on develop/design/architect new features mainly in the field of ML compilation technology and framework SW, kernel/user space driver stack, real…&hellip;
      
        Skills: Git, Test-driven development, Analysis skills, C++, C",12d
Data & ML Engineer - Newcastle,Accenture,"Newcastle upon Tyne, England",#N/A,"At least 3 years experience with large-scale data challenges (big data, distributed systems). You’ll work with client teams to deliver intelligent data products…&hellip;
      
        Skills: Power BI, Azure, Waterfall, Kubernetes, Ansible",30d+
Software ML Engineer,Arm,"Manchester, England",£55K - £75K (Employer provided),"You will work on developing/designing/architecting new features, mainly in the field of ML compilation technology and framework SW, kernel/user space driver…&hellip;
      
        Skills: Git, Test-driven development, Analysis skills, C++, C",12d
Lead ML Engineer,NewDay,"London, England",£42K - £52K (Glassdoor est.),"Experience building and operating ML systems in production, including model serving, monitoring, and lifecycle management.&hellip;
      
        Skills: AWS, Data science, Communication skills",30d+
AI/ML Engineer,Keysight Technologies,"Fleet, South East England, England",£49K - £76K (Glassdoor est.),"You will collaborate closely with engineers, data scientists, and product managers to develop innovative solutions that provide measurable impact.&hellip;
      
        Skills: TensorFlow, Software deployment, Analysis skills, C++, Machine learning",30d+
AI /ML Platform Engineer,FDM Group,"London, England",£30K - £50K (Glassdoor est.),"Manage authentication, identity, and role-based access controls across the platform. Monitor incoming data to detect data drift; trigger model retraining and…&hellip;
      
        Skills: Azure, Software deployment, PaaS, .NET, Microservices",26d
Senior AI/ML Engineer,Salford City Council,"Salford, North West England, England",£56K - £58K (Employer provided),"You will collaborate with developers, data engineers, product owners, and service teams to turn ideas into production-grade systems.&hellip;
      
        Skills: Azure, AI, Leadership",7d
Founding Engineer (AI),LinuxRecruit,"London, England",£100K - £170K (Employer provided),"As we know, every hospital, school, pub etc must meet strict safety and compliance requirements. They’re building a fully AI native platform that automates the…&hellip;",24h
AI/ML Engineer,Melo Tech,"London, England",£61K - £89K (Glassdoor est.),"Take-home case study: Real-world project - showcase your skills and working style. You're obsessed with music, video or social media.&hellip;
      
        Skills: Kubernetes, Docker, Machine learning, APIs, Python",30d+
AI Research Engineer,Normal Computing,"London, England",£300K - £400K (Employer provided),"You’ll write production‑quality research code and work closely with engineering to ship improvements to customers.&hellip;
      
        Skills: AI, Python",30d+
Lead ML Engineer,Hiscox,"London, England",£60K - £85K (Glassdoor est.),"Solid understanding of core data science concepts, including supervised and unsupervised learning, feature engineering, and model evaluation.&hellip;
      
        Skills: Cloud infrastructure, Azure, Git, Google Cloud Platform, SQL",30d+
Senior Software ML Engineer,Arm,"Manchester, England",£74K - £100K (Employer provided),"You will work on developing/designing/architecting new features, mainly in the field of ML compilation technology and framework SW, kernel/user space driver…&hellip;
      
        Skills: Git, Test-driven development, Analysis skills, C++, C",12d
Senior ML Platform Engineer,Synthesia,"London, England",£168K - £184K (Glassdoor est.),"Collaborate closely with researchers and product engineers to understand pain points and turn them into robust platform capabilities.&hellip;
      
        Skills: Cloud infrastructure, Kubernetes, Distributed systems, Terraform, GitHub",5d
Agentic Engineer(s),Genie AI,"London, England",£61K - £100K (Glassdoor est.),"Our org structure is made up of pods with distinct areas of focus to keep us all working on the most impactful things for our customers all of the time.&hellip;
      
        Skills: Node.js, AI, Leadership, Design patterns",30d+
Placement Simulation & Analytics Engineer,Crux Product Design,"Bristol, England",£30K - £38K (Glassdoor est.),"You’ll enjoy a generous holiday allowance, life assurance, a generous pension scheme, bike‑to‑work options, a health cash plan, and opportunities to get…&hellip;
      
        Skills: Maths, Machine learning",18d
Senior ML Platform Engineer - Artificial Intelligence,Bloomberg,"London, England",£120K - £164K (Glassdoor est.),"We are expanding our group and seeking highly skilled individuals who will be responsible for contributing to the team (or teams) of Machine Learning (ML) and…&hellip;
      
        Skills: Go, Kubernetes, Data structures, OOP, AI",30d+
DS/ML Engineer,Veeva Systems,Remote,#N/A,"We're not just any public company – we made history in 2021 by becoming a public benefit corporation (PBC), legally bound to balancing the interests of…&hellip;
      
        Skills: AWS, Machine learning, Natural language processing, AI, Communication skills",14d
ML Research Engineer,Circadia Health,"London, England",£48K - £123K (Glassdoor est.),"Strong knowledge of deep learning methods and frameworks (e.g. PyTorch, TensorFlow, JAX) with an ability to quickly implement research papers into production-…&hellip;
      
        Skills: TensorFlow, Cloud infrastructure, Azure, Internet of things, Google Cloud Platform",30d+
ML Ops Engineer,Reve Cloud Ltd.,"London, England",£30K - £60K (Employer provided),"You will work at the intersection of backend engineering, machine learning operations, and frontend development to build robust, production-grade AI systems.&hellip;
      
        Skills: Azure, Node.js, React, Kubernetes, DevOps",12d
Lead ML Engineer,Chubb,"London, England",£60K - £71K (Glassdoor est.),"You will be the most senior technical practitioner in the analytics and AI team, responsible for setting the engineering bar and raising capability across a…&hellip;
      
        Skills: Azure, Software deployment, Test automation, Mentoring, APIs",18d
AI / ML Engineers,Advanced Wireless Technology Group,"London, England",£55K - £60K (Glassdoor est.),"Platform Development: Architect and develop a user-friendly platform where multiple AI models are accessible and can be utilised through API calls, facilitating…&hellip;
      
        Skills: TensorFlow, Software deployment, Machine learning, APIs, Cloud computing",30d+
2025 | EMEA | London | Engineering | Seasonal/Off Cycle Internship,Goldman Sachs,"London, England",#N/A,"We look for creative collaborators who evolve, adapt to change and thrive in a fast-paced global environment. Receive training designed to help you succeed.&hellip;",30d+
NLP/ML Engineer (Canada/UAE),Insilico Medicine,Remote,#N/A,"Ability to work independently in a dynamic, fast-paced environment. The role focuses on areas such as text classification, information extraction from abstracts…&hellip;
      
        Skills: Node.js, Machine learning, Deep learning, Natural language processing, Construction",30d+
Staff Engineer (R&D Engineering),Synopsys,"Glasgow, Scotland",£37K - £49K (Glassdoor est.),"Our technology is central to the Era of Pervasive Intelligence, from self-driving cars to learning machines. Contributing to the continuous improvement of the…&hellip;
      
        Skills: C++, Maths, Machine learning, Communication skills, Python",13d
2nd Line Engineer,Leidos,Remote,FCFA 37K - FCFA 46K (Employer provided),"Liaising with customers to ensure all issue are dealt within SLA and KPI set down by the customer. Leidos will also consider for employment qualified applicants…&hellip;
      
        Skills: SCCM, Computer networking",12d
Staff Robotics AI/ ML Engineer,Analog Devices,"Edinburgh, Scotland",£39K - £62K (Glassdoor est.),"1324b(a)(3) – may have to go through an export licensing review process. For positions requiring access to technical data, Analog Devices, Inc. may have to…&hellip;
      
        Skills: TensorFlow, Unreal Engine, DevOps, Git, Docker",30d+
Innovation Engineer,Freshfields Bruckhaus Deringer,"London, England",£34K - £91K (Glassdoor est.),"Develop minimum viable products to support go/no-go decisions. Iterate fast — using user feedback to refine, improve, and validate solutions.&hellip;
      
        Skills: System architecture, JavaScript, APIs, IT, Python",30d+
