Job Title,Company,Location,Salary Estimate,Job Description,Job Age
Data Scientist,WINTrio,Remote,,"Takes research methodology and translates the methodology into programming procedures to examine differences, trends, and findings to be applied to special cost…&hellip;
      
        Skills: Statistics, SAS, R, Process improvement, SQL",30d+
"Language Data Scientist, Alexa AI",Amazon,"Seattle, WA",$136K - $184K (Employer provided),"3+ years of machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance experience.&hellip;
      
        Skills: Statistics, MATLAB, SAS, Qualitative research, R",18d
"Data Scientist, WWPS ProServe Data and Machine Learning",Amazon Web Services,"Jessup, MD",$136K - $184K (Employer provided),"Working closely with stakeholders, you'll assess current data infrastructure, develop proof-of-concepts, and propose effective strategies for implementing AI…&hellip;
      
        Skills: CI/CD, MATLAB, SAS, Software deployment, R",30d+
"Data Scientist I, SHAKE",Amazon,"Seattle, WA",$108K - $160K (Employer provided),"You will work on our Science team and partner closely with applied scientists, data engineers as well as product managers, UX designers, and business partners…&hellip;
      
        Skills: Statistics, MATLAB, Data mining, Business intelligence, SAS",27d
Lead Data Scientist,State Farm,"Bloomington, IL",$107K - $142K (Employer provided),"Completed master’s or other advanced degree in an analytical field such as statistics, mathematics, economics, data science, quantitative marketing, operations…&hellip;
      
        Skills: SAS, Computer vision, R, AWS, Team management",18d
Data Scientist,Deloitte,"Arlington, VA",$101K - $143K (Glassdoor est.),"Design, wireframe, and develop dashboards and data visualizations that clearly communicate insights to non-technical audiences.&hellip;
      
        Skills: Statistics, Tableau, Databases, Wireframing, Predictive analytics",12d
AI and Machine Learning,Tata Consultancy Services,"Westfield, NJ",$100K - $150K (Employer provided),"Mentoring and technical leadership capabilities.  Experience with Agentic AI architectures and end to end AI solution design.&hellip;
      
        Skills: Azure, Deep learning, Mentoring, Natural language processing, Scalability",3d
Data Science Engineer,Tata Consultancy Services,"Durham, NC",$90K - $110K (Employer provided),"Experience with prompt engineering and few-shot learning techniques. Ability to optimize models for performance, scalability, and low-latency inference.&hellip;
      
        Skills: TensorFlow, Natural language processing, Scalability, Data science, AI",5d
Data Scientist,Tata Consultancy Services,"San Antonio, TX",$100K - $140K (Employer provided),"Data Visualization and Reporting: Using tools (e.g., Tableau, Power BI) to create reports and charts that communicate technical findings to non-technical…&hellip;
      
        Skills: TensorFlow, Statistics, Power BI, R, Data analysis skills",30d+
Data Scientist,Tata Consultancy Services,"Louisville, KY",$110K - $140K (Employer provided),"3+ years in decision analytics, data science, or quantitative analysis. Decision quality analysis, fairness/bias/equity monitoring, experiment measurement,…&hellip;
      
        Skills: Statistics, SQL, Statistical analysis, Analysis skills, Data science",27d
Lead Data Scientist,Humana,United States,$142K - $196K (Employer provided),"Manage the execution of data science strategies and initiatives, including the design, development and implementation. Use your skills to make an impact.&hellip;
      
        Skills: TensorFlow, Data mining, Computer vision, DevOps, System design",30d+
Senior Data Scientist,Humana,United States,$118K - $162K (Employer provided),"Associates who live and work from Home in the state of California, Illinois, Montana, or South Dakota will be provided a bi-weekly payment for their internet…&hellip;
      
        Skills: TensorFlow, Data mining, Computer vision, DevOps, Data analysis skills",30d+
Machine Learning - Data Scientist,Apple,"Boulder, CO",$132K - $245K (Employer provided),"Strong documentation skills, including the ability to write technical reports and present to non-technical audiences.&hellip;
      
        Skills: TensorFlow, Statistics, Computer vision, Statistical analysis, Analysis skills",4d
"AIML - Sr Data Scientist, Evaluation",Apple,"Cupertino, CA",$181K - $318K (Employer provided),"Advanced degree in a quantitative field such as Statistics, Operational Research, Bioinformatics, Economics, Psychology, Computer Science, Sociology,…&hellip;
      
        Skills: Statistics, Big data, Data structures, Spark, R",4d
"AIML - Sr Data Scientist, Evaluation",Apple,"Seattle, WA",$172K - $302K (Employer provided),"Work with evaluation/experimentation engineering teams to get your methodological developments translated into technologies that Siri engineering will use every…&hellip;
      
        Skills: Operations research, Computer science, Data structures, Spark, R",4d
"AIML - Data Scientist, Evaluation",Apple,"Cupertino, CA",$147K - $272K (Employer provided),"Work with evaluation/experimentation engineering teams to get your methodological developments translated into technologies that Apple Intelligence engineering…&hellip;
      
        Skills: Big data, Data structures, Spark, R, SQL",4d
Research Data Scientist II,Cleveland Clinic,"Cleveland, OH",$77K - $117K (Employer provided),"Bachelor’s degree in statistics, mathematics, computer science, engineering or a related field and four years of experience conducting data analytics, math or…&hellip;
      
        Skills: Statistics, Computer operation, SAS, R, SQL",30d+
Cost Engineer/Data Scientist,Lockheed Martin,"Littleton, CO",$105K - $209K (Employer provided),"The role may include working on affordability analysis, life cycle cost developments, cost data analytics, forecasting cost and schedule, data collection and…&hellip;
      
        Skills: Power BI, Tableau, SQL, Analysis skills, Systems engineering",20d
RESEARCH DATA SPECIALIST II,State of California State Personnel Board,United States,$8K - $10K (Employer provided),"Advanced degree (Master’s) in Sociology, Economics, Statistics, Mathematics, or a similarly related field. The incumbent is required to work extensively on the…&hellip;
      
        Skills: Statistics, Computer operation, Process improvement, Data entry, Data science",6d
Data Scientist II,Truist,"Orlando, FL",$111K - $148K (Glassdoor est.),"Take accountability and ownership of end-to-end data science solution design, technical delivery, and measurable business outcome.&hellip;
      
        Skills: Statistics, SAS, Calculus, Spark, R",20d
Fraud Data Scientist II,Truist,"Charlotte, NC",$103K - $139K (Glassdoor est.),"Hands-on expertise with fraud detection tools and data signals, including device intelligence, behavioral biometrics, consortium data, third‑party risk scoring,…&hellip;
      
        Skills: Statistics, Computer science, Data mining, SAS, Spark",30d+
Foreign Assistance Data Scientist,Guidehouse,"Arlington, VA",$77K - $112K (Glassdoor est.),"This position will play a critical role in data analysis with a focus on foreign assistance datasets and intra- and interagency engagement.&hellip;
      
        Skills: Statistics, Writing skills, Tableau, Databases, Change management",30d+
Data Scientist,Guidehouse,"Baltimore, MD",$65K - $108K (Employer provided),"Hands on experience with Machine Learning and Generative AI, Natural Language Processing (NLP) and Large Language Models (LLMs), multimodal and time series data…&hellip;
      
        Skills: TensorFlow, MATLAB, Azure, R, SQL",10d
Data Scientist,Kemper,"Dallas, TX",$94K - $155K (Employer provided),"Excellent overall communication skills, especially the ability to translate technical results for non-technical audiences.&hellip;
      
        Skills: Cloud infrastructure, Relational databases, AWS, Natural language processing, APIs",30d+
Data Scientist for Analytics (Engineer/Scientist Support),CACI International,"Norco, CA",$70K - $143K (Employer provided),"Quick to learn new systems, tools, and technical domains. Familiarity with core data analysis techniques and visualization tools. Must be a U.S. Citizen.&hellip;
      
        Skills: MATLAB, Process improvement, Analysis skills, Data visualization, Communication skills",17d
Research Analyst 1,University of Miami,"Miami, FL",$52K - $72K (Glassdoor est.),"Bachelor’s degree in relevant field required. Verifies accuracy and internal consistency of reports, including required state and federal reports.&hellip;
      
        Skills: Statistics, Scientific research",7d
"Data Scientist - Tiktok Ads, Ads Measurement",TikTok,"San Jose, CA",$179K - $293K (Employer provided),"Conduct research and analysis to improve the lift experimentation platform using experimental design and causal inference methods.&hellip;
      
        Skills: Biostatistics, R, Apache Hive, SQL, Analysis skills",30d+
Data Scientist - TikTok Integrity and Safety (San Jose),TikTok,"San Jose, CA",$137K - $293K (Employer provided),"2+ years of data science experience and Bachelor's degree or above in statistics, data science, economics, mathematics, or a related field.&hellip;
      
        Skills: Data mining, R, English, SQL, Risk management",30d+
"Data Scientist, Product Infrastructure - TikTok (San Jose)",TikTok,"San Jose, CA",$137K - $293K (Employer provided),"Our main tasks include metrics defining, root cause analysis, experimentation methodology, feature/strategy evaluation and exploratory analysis to find more…&hellip;
      
        Skills: Statistics, Big data, R, SQL, Root cause analysis",30d+
Data Scientist - Multimedia,TikTok,"San Jose, CA",$95K - $240K (Employer provided),"Experience in data science roles, preferably working on mobile application performance analysis and user experience optimization.&hellip;
      
        Skills: Statistics, Data mining, Mobile applications, Spark, Apache Hive",30d+
Data Scientist,Mayden,"Bath, England",£45K (Employer provided),"Exposure to working with clients and customers, validating project and product specifications to meet the needs of a wide range of stakeholders.&hellip;
      
        Skills: Power BI, R, Data analysis skills, Git, Tableau",30d+
Data Scientist,Almedia,"London, England",£90K - £220K (Employer provided),"Strong experience building and deploying machine learning models in a product-driven environment, ideally in Gaming, AdTech, gambling or user-incentive systems.&hellip;
      
        Skills: Google Cloud Platform, SQL, Machine learning, Terraform, Leadership",30d+
Data Scientist,bp,"London, England",£50K - £70K (Glassdoor est.),"Collaborate with data scientists, product managers, and other engineers to ensure end-to-end delivery and reliability of AI products.&hellip;
      
        Skills: Cloud infrastructure, Azure, DevOps, Google Cloud Platform, Java",25d
Data Scientist,Data Idols,"London, England",£85K - £95K (Employer provided),"Reporting directly into the CTO, this Lead Data Scientist will play a critical role in shaping the company’s core product and driving real commercial impact…&hellip;
      
        Skills: Data analysis skills, Machine learning, Data science, Python",21d
